rfq_id,sentence_index,characteristic,internal_value,confidence,characteristic_phrase,value_phrase,source_sentence,v4_threshold,v4_decision
RFQ731-001267,8,certification,NN,1.585365853658537,standard certification documentation,standard certification documentation,The equipment is required to support standard certification documentation.,0.3,ACCEPT
RFQ731-001267,2,characteristic,GP,1.4809451219512195,must provide general-purpose configuration,must provide general-purpose configuration,The proposed solution must provide general-purpose configuration.,1.3,ACCEPT
RFQ731-001267,14,customUserFluid,1,1.741176470588235,provide a customer-specific fluid definition,provide a customer-specific fluid definition,The proposed solution must provide a customer-specific fluid definition.,1.3,ACCEPT
RFQ731-001267,9,dataInterface,NN,2.0470588235294125,we would prefer standard communication,we would prefer standard communication,We would prefer standard communication capability.,1.3,ACCEPT
RFQ731-001267,13,devCategory,G,1.2649739583333337,dynamic gas measurement functionality,dynamic gas measurement functionality,We would prefer dynamic gas measurement functionality.,0.9,ACCEPT
RFQ731-001267,13,dynamicGasMaster,1,1.2649739583333337,dynamic gas measurement functionality,dynamic gas measurement functionality,We would prefer dynamic gas measurement functionality.,1.1,ACCEPT
RFQ731-001267,7,explosionApproval,A,1.6975609756097567,operation in a hazardous area,operation in a hazardous area,The equipment is required to support operation in a hazardous area with the applicable protection requirements.,1.5,ACCEPT
RFQ731-001267,6,explosionApproval,K,1.691176470588235,explosionapproval configuration,explosionapproval configuration,The proposed solution must provide the required explosionApproval configuration.,1.5,ACCEPT
RFQ731-001267,15,housing,ST,2.7777777777777777,expected delivery lead time validity,expected delivery lead time validity,"Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.",0.2,ACCEPT
RFQ731-001267,5,numberOfChannels,1,1.4352941176470588,requires a single measurement channel,requires a single measurement channel,The application requires a single measurement channel.,1.1,ACCEPT
RFQ731-001267,4,powerSupply,1,1.585365853658537,standard electrical supply,standard electrical supply,The application requires the standard electrical supply option.,1.5,ACCEPT
RFQ731-001267,7,protectionArea,2,1.6975609756097567,operation in a hazardous area,operation in a hazardous area,The equipment is required to support operation in a hazardous area with the applicable protection requirements.,1.3,ACCEPT
RFQ731-001267,10,stromEingaenge,IS1,1.585365853658537,dedicated current-input channel,dedicated current-input channel,The equipment is required to support a dedicated current-input channel.,1.5,ACCEPT
RFQ731-001267,12,temperaturEingaenge,TT1,1.2649739583333337,we require advanced low-temperature,we require advanced low-temperature,We require advanced low-temperature measurement capability.,1.2,ACCEPT
RFQ731-001267,12,waveInjector,FWI,1.2649739583333337,we require advanced low-temperature,we require advanced low-temperature,We require advanced low-temperature measurement capability.,1.2,ACCEPT
RFQ731-001268,12,binaerOpenColl_MP,MP1,1.4439024390243906,must provide an open-collector input,must provide an open-collector input,The proposed solution must provide an open-collector input capability.,1.2,ACCEPT
RFQ731-001268,8,certification,NN,1.585365853658537,standard certification documentation,standard certification documentation,The equipment is required to support standard certification documentation.,0.3,ACCEPT
RFQ731-001268,2,characteristic,GP,1.4809451219512195,we require general-purpose configuration,we require general-purpose configuration,We require general-purpose configuration.,1.3,ACCEPT
RFQ731-001268,15,customUserFluid,1,2.2058823529411766,available we would like custom,available we would like custom,"Where available, we would like custom fluid configuration.",1.3,ACCEPT
RFQ731-001268,14,dev_advMeterVerification,1,2.0470588235294125,we require advanced verification functionality,we require advanced verification functionality,We require advanced verification functionality.,1.5,ACCEPT
RFQ731-001268,7,explosionApproval,A,1.6975609756097567,operation in a hazardous area,operation in a hazardous area,The proposed solution must provide operation in a hazardous area with the applicable protection requirements.,1.5,ACCEPT
RFQ731-001268,6,explosionApproval,K,1.691176470588235,explosionapproval configuration,explosionapproval configuration,The equipment is required to support the required explosionApproval configuration.,1.5,ACCEPT
RFQ731-001268,16,housing,ST,2.7777777777777777,expected delivery lead time validity,expected delivery lead time validity,"Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.",0.2,ACCEPT
RFQ731-001268,5,numberOfChannels,1,1.741176470588235,must provide one measurement channel,must provide one measurement channel,The proposed solution must provide one measurement channel.,1.1,ACCEPT
RFQ731-001268,4,powerSupply,1,1.585365853658537,standard electrical supply,standard electrical supply,We require the standard electrical supply option.,1.5,ACCEPT
RFQ731-001268,7,protectionArea,2,1.6975609756097567,operation in a hazardous area,operation in a hazardous area,The proposed solution must provide operation in a hazardous area with the applicable protection requirements.,1.3,ACCEPT
RFQ731-001268,11,stromEingaenge,IS1,2.2058823529411766,consider one current input as,consider one current input as,Please consider one current input as a preferred option.,1.5,ACCEPT
RFQ731-001268,10,stromSchaltbar,CS1,1.4809451219512195,provide switchable current-output functionality,provide switchable current-output functionality,"If possible, please provide switchable current-output functionality.",1.2,ACCEPT
RFQ731-001268,5,temperaturEingaenge,TT1,1.2333333333333334,proposed solution must provide one,proposed solution must provide one,The proposed solution must provide one measurement channel.,1.2,ACCEPT
RFQ731-001268,13,waveInjector,FWI,2.7,enhanced measurement capability for demanding applications,enhanced measurement capability for demanding applications,The application requires enhanced measurement capability for demanding applications.,1.2,ACCEPT
RFQ731-001269,8,certification,NN,1.585365853658537,standard certification package,standard certification package,The application requires the standard certification package.,0.3,ACCEPT
RFQ731-001269,2,characteristic,GP,1.4024390243902445,general-purpose configuration,general-purpose configuration,The equipment is required to support general-purpose configuration.,1.3,ACCEPT
RFQ731-001269,14,customUserFluid,1,2.2058823529411766,we would prefer custom fluid,we would prefer custom fluid,We would prefer custom fluid configuration.,1.3,ACCEPT
RFQ731-001269,13,dev_advMeterVerification,1,1.7858455882352944,requires advanced meter verification,requires advanced meter verification,The application requires advanced meter verification.,1.5,ACCEPT
RFQ731-001269,6,explosionApproval,N,2.0470588235294125,does not require hazardous-area approval,does not require hazardous-area approval,We require the installation does not require hazardous-area approval.,1.5,ACCEPT
RFQ731-001269,15,housing,ST,2.7777777777777777,expected delivery lead time validity,expected delivery lead time validity,"Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.",0.2,ACCEPT
RFQ731-001269,5,numberOfChannels,1,1.4352941176470588,requires a single measurement channel,requires a single measurement channel,The application requires a single measurement channel.,1.1,ACCEPT
RFQ731-001269,4,powerSupply,1,1.585365853658537,standard power supply,standard power supply,The equipment is required to support standard power supply.,1.5,ACCEPT
RFQ731-001269,7,protectionArea,N,1.585365853658537,non-hazardous installation area,non-hazardous installation area,The equipment is required to support a non-hazardous installation area.,1.3,ACCEPT
RFQ731-001269,10,stromSchaltbar,CS1,1.4393382352941178,requires a switchable current-output,requires a switchable current-output,The application requires a switchable current-output capability.,1.2,ACCEPT
RFQ731-001269,11,temperaturEingaenge,TT1,1.741176470588235,consider temperature measurement capability as,consider temperature measurement capability as,Please consider temperature measurement capability as a preferred option.,1.2,ACCEPT
RFQ731-001269,12,waveInjector,FWI,1.2649739583333337,must provide advanced low-temperature,must provide advanced low-temperature,The proposed solution must provide advanced low-temperature measurement capability.,1.2,ACCEPT
RFQ731-001270,12,binaerDigitalOpenColl_MN,MN1,1.585365853658537,digital open-collector input,digital open-collector input,The equipment is required to support a digital open-collector input.,1.4,ACCEPT
RFQ731-001270,9,certification,NN,1.585365853658537,standard certification documentation,standard certification documentation,The equipment is required to support standard certification documentation.,0.3,ACCEPT
RFQ731-001270,3,characteristic,ST,1.4024390243902445,standard temperature,standard temperature,The application requires standard temperature application.,1.3,ACCEPT
RFQ731-001270,14,customUserFluid,1,2.1323529411764706,customer-specific fluid definition as,customer-specific fluid definition as,Please consider a customer-specific fluid definition as a preferred option.,1.3,ACCEPT
RFQ731-001270,10,dataInterface,NN,1.691176470588235,standard communication,standard communication,The equipment is required to support standard communication capability.,1.3,ACCEPT
RFQ731-001270,7,explosionApproval,N,1.911764705882353,standard non-hazardous-area installation,standard non-hazardous-area installation,The application requires standard non-hazardous-area installation.,1.5,ACCEPT
RFQ731-001270,16,housing,ST,2.7777777777777777,expected delivery lead time validity,expected delivery lead time validity,"Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.",0.2,ACCEPT
RFQ731-001270,6,numberOfChannels,2,1.7858455882352944,must provide two independent,must provide two independent,The proposed solution must provide two independent measurement channels.,1.1,ACCEPT
RFQ731-001270,5,powerSupply,1,1.6975609756097567,we require standard power supply,we require standard power supply,We require standard power supply.,1.5,ACCEPT
RFQ731-001270,8,protectionArea,N,1.585365853658537,non-hazardous installation area,non-hazardous installation area,We require a non-hazardous installation area.,1.3,ACCEPT
RFQ731-001270,15,steamApplication,H,1.4024390243902445,steamapplication configuration,steamapplication configuration,We require the required steamApplication configuration.,0.2,ACCEPT
RFQ731-001270,11,stromSchaltbar,CS1,1.241869918699187,a switchable current-output,a switchable current-output,The equipment is required to support a switchable current-output capability.,1.2,ACCEPT
RFQ731-001270,13,waveInjector,FWI,2.7,enhanced measurement capability for demanding applications,enhanced measurement capability for demanding applications,We require enhanced measurement capability for demanding applications.,1.2,ACCEPT
RFQ731-001271,8,certification,NN,1.585365853658537,standard certification package,standard certification package,The equipment is required to support the standard certification package.,0.3,ACCEPT
RFQ731-001271,2,characteristic,CA,1.4024390243902445,calibration service,calibration service,The equipment is required to support calibration service.,1.3,ACCEPT
RFQ731-001271,12,dev_advMeterVerification,1,2.1323529411764706,would like enhanced verification,would like enhanced verification,The customer would like enhanced verification capabilities for maintenance.,1.5,ACCEPT
RFQ731-001271,7,explosionApproval,A,1.6975609756097567,operation in a hazardous area,operation in a hazardous area,The equipment is required to support operation in a hazardous area with the applicable protection requirements.,1.5,ACCEPT
RFQ731-001271,6,explosionApproval,F,1.911764705882353,hazardous process environment,hazardous process environment,The proposed solution must provide a hazardous process environment.,1.5,ACCEPT
RFQ731-001271,9,housing,ST,2.7777777777777777,maintenance personnel would benefit from,maintenance personnel would benefit from,Maintenance personnel would benefit from convenient commissioning and diagnostic access.,0.2,ACCEPT
RFQ731-001271,5,numberOfChannels,1,1.4393382352941178,we require a single,we require a single,We require a single measurement channel.,1.1,ACCEPT
RFQ731-001271,4,powerSupply,1,1.6975609756097567,we require standard power supply,we require standard power supply,We require standard power supply.,1.5,ACCEPT
RFQ731-001271,7,protectionArea,2,1.6975609756097567,operation in a hazardous area,operation in a hazardous area,The equipment is required to support operation in a hazardous area with the applicable protection requirements.,1.3,ACCEPT
RFQ731-001271,10,stromEingaenge,IS1,1.585365853658537,one current input,one current input,The equipment is required to support one current input.,1.5,ACCEPT
RFQ731-001271,11,temperaturEingaenge,TT1,1.4809451219512195,one temperature measurement input,one temperature measurement input,The equipment is required to support one temperature measurement input.,1.2,ACCEPT
RFQ731-001272,12,binaerDigitalOpenColl_MN,MN1,1.741176470588235,require a digital open-collector input,require a digital open-collector input,We require a digital open-collector input.,1.4,ACCEPT
RFQ731-001272,9,certification,NN,1.585365853658537,standard certification package,standard certification package,The application requires the standard certification package.,0.3,ACCEPT
RFQ731-001272,3,characteristic,GP,1.585365853658537,standard process configuration,standard process configuration,The application requires standard process configuration.,1.3,ACCEPT
RFQ731-001272,14,customUserFluid,1,2.0470588235294125,we require custom fluid configuration,we require custom fluid configuration,We require custom fluid configuration.,1.3,ACCEPT
RFQ731-001272,10,dataInterface,NN,1.911764705882353,standard communication interface,standard communication interface,The proposed solution must provide the standard communication interface.,1.3,ACCEPT
RFQ731-001272,1,devCategory,G,1.309878048780488,process gas,process gas,"RFQ Reference: RFQ731-001272
Customer Reference: Metering System Replacement
Country: Netherlands

As part of our metering system replacement, we require a suitable measurement system for process gas measurement.",0.9,ACCEPT
RFQ731-001272,7,explosionApproval,N,2.0470588235294125,does not require hazardous-area approval,does not require hazardous-area approval,The proposed solution must provide the installation does not require hazardous-area approval.,1.5,ACCEPT
RFQ731-001272,15,housing,ST,2.7777777777777777,expected delivery lead time validity,expected delivery lead time validity,"Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.",0.2,ACCEPT
RFQ731-001272,6,numberOfChannels,1,1.4352941176470588,requires a single measurement channel,requires a single measurement channel,The application requires a single measurement channel.,1.1,ACCEPT
RFQ731-001272,5,powerSupply,1,1.6975609756097567,we require standard power supply,we require standard power supply,We require standard power supply.,1.5,ACCEPT
RFQ731-001272,8,protectionArea,N,1.585365853658537,non-hazardous installation area,non-hazardous installation area,We require a non-hazardous installation area.,1.3,ACCEPT
RFQ731-001272,11,stromEingaenge,IS1,1.7858455882352944,requires one current input,requires one current input,The application requires one current input.,1.5,ACCEPT
RFQ731-001272,13,waveInjector,FWI,2.7,enhanced measurement capability for demanding applications,enhanced measurement capability for demanding applications,The equipment is required to support enhanced measurement capability for demanding applications.,1.2,ACCEPT
RFQ731-001273,13,binaerOpenColl_MP,MP1,1.241869918699187,an open-collector input,an open-collector input,The application requires an open-collector input capability.,1.2,ACCEPT
RFQ731-001273,8,certification,NN,1.585365853658537,standard certification package,standard certification package,We require the standard certification package.,0.3,ACCEPT
RFQ731-001273,2,characteristic,GP,1.4024390243902445,general-purpose configuration,general-purpose configuration,We would prefer general-purpose configuration.,1.3,ACCEPT
RFQ731-001273,9,dataInterface,NN,1.7858455882352944,we require standard communication,we require standard communication,We require standard communication capability.,1.3,ACCEPT
RFQ731-001273,6,explosionApproval,A,1.7858455882352944,must provide hazardous-area operation,must provide hazardous-area operation,The proposed solution must provide hazardous-area operation.,1.5,ACCEPT
RFQ731-001273,15,housing,ST,2.7777777777777777,expected delivery lead time validity,expected delivery lead time validity,"Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.",0.2,ACCEPT
RFQ731-001273,5,numberOfChannels,1,1.4393382352941178,we require a single,we require a single,We require a single measurement channel.,1.1,ACCEPT
RFQ731-001273,4,powerSupply,1,1.8292682926829271,we would like standard power,we would like standard power,"Where available, we would like standard power supply.",1.5,ACCEPT
RFQ731-001273,7,protectionArea,2,3.5666666666666678,installation in a protected hazardous area,installation in a protected hazardous area,The proposed solution must provide installation in a protected hazardous area.,1.3,ACCEPT
RFQ731-001273,11,stromEingaenge,IS1,1.585365853658537,one current input,one current input,The equipment is required to support one current input.,1.5,ACCEPT
RFQ731-001273,10,stromSchaltbar,CS1,1.8292682926829271,consider switchable current-output functionality as,consider switchable current-output functionality as,Please consider switchable current-output functionality as a preferred option.,1.2,ACCEPT
RFQ731-001273,12,temperaturEingaenge,TT1,1.741176470588235,requires one temperature measurement input,requires one temperature measurement input,The application requires one temperature measurement input.,1.2,ACCEPT
RFQ731-001273,14,waveInjector,FWI,1.354166666666667,consider advanced low-temperature,consider advanced low-temperature,Please consider advanced low-temperature measurement capability as a preferred option.,1.2,ACCEPT
RFQ731-001274,9,certification,NN,1.585365853658537,standard certification documentation,standard certification documentation,We would prefer standard certification documentation.,0.3,ACCEPT
RFQ731-001274,10,dataInterface,MT,1.691176470588235,datainterface configuration,datainterface configuration,"If possible, please provide the required dataInterface configuration.",1.3,ACCEPT
RFQ731-001274,12,dev_advMeterVerification,1,2.2058823529411766,we would prefer advanced verification,we would prefer advanced verification,We would prefer advanced verification functionality.,1.5,ACCEPT
RFQ731-001274,8,explosionApproval,A,1.6975609756097567,operation in a hazardous area,operation in a hazardous area,The application requires operation in a hazardous area with the applicable protection requirements.,1.5,ACCEPT
RFQ731-001274,7,explosionApproval,K,1.691176470588235,explosionapproval configuration,explosionapproval configuration,The proposed solution must provide the required explosionApproval configuration.,1.5,ACCEPT
RFQ731-001274,13,housing,ST,2.7777777777777777,expected delivery lead time validity,expected delivery lead time validity,"Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.",0.2,ACCEPT
RFQ731-001274,6,numberOfChannels,1,1.241869918699187,single measurement channel,single measurement channel,The equipment is required to support a single measurement channel.,1.1,ACCEPT
RFQ731-001274,5,powerSupply,1,1.585365853658537,standard power supply,standard power supply,The application requires standard power supply.,1.5,ACCEPT
RFQ731-001274,8,protectionArea,2,1.6975609756097567,operation in a hazardous area,operation in a hazardous area,The application requires operation in a hazardous area with the applicable protection requirements.,1.3,ACCEPT
RFQ731-001274,12,temperaturEingaenge,TT1,1.2083333333333333,we would prefer advanced,we would prefer advanced,We would prefer advanced verification functionality.,1.2,ACCEPT
RFQ731-001274,11,temperaturEingaenge,TT2,1.4024390243902445,additional temperature,additional temperature,The application requires additional temperature measurement capability.,1.2,ACCEPT
RFQ731-001274,12,waveInjector,FWI,1.5104166666666663,we would prefer advanced,we would prefer advanced,We would prefer advanced verification functionality.,1.2,ACCEPT
RFQ731-001275,10,binaerDigitalOpenColl_MN,MN1,2.2058823529411766,available we would like digital,available we would like digital,"Where available, we would like digital signal input capability.",1.4,ACCEPT
RFQ731-001275,10,binaerOpenColl_MP,MP1,1.354166666666667,digital signal input,digital signal input,"Where available, we would like digital signal input capability.",1.2,ACCEPT
RFQ731-001275,8,certification,NN,1.585365853658537,standard certification package,standard certification package,The application requires the standard certification package.,0.3,ACCEPT
RFQ731-001275,2,characteristic,ST,1.4809451219512195,we require standard temperature,we require standard temperature,We require standard temperature application.,1.3,ACCEPT
RFQ731-001275,12,customUserFluid,1,1.585365853658537,custom fluid configuration,custom fluid configuration,The application requires custom fluid configuration.,1.3,ACCEPT
RFQ731-001275,9,dataInterface,NN,1.7858455882352944,must provide standard communication,must provide standard communication,The proposed solution must provide standard communication capability.,1.3,ACCEPT
RFQ731-001275,11,dev_advMeterVerification,1,2.0470588235294125,must provide advanced meter verification,must provide advanced meter verification,The proposed solution must provide advanced meter verification.,1.5,ACCEPT
RFQ731-001275,7,explosionApproval,A,1.6975609756097567,operation in a hazardous area,operation in a hazardous area,"Where available, we would like operation in a hazardous area with the applicable protection requirements.",1.5,ACCEPT
RFQ731-001275,6,explosionApproval,K,1.691176470588235,explosionapproval configuration,explosionapproval configuration,The application requires the required explosionApproval configuration.,1.5,ACCEPT
RFQ731-001275,14,housing,ST,2.7777777777777777,expected delivery lead time validity,expected delivery lead time validity,"Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.",0.2,ACCEPT
RFQ731-001275,5,numberOfChannels,1,1.241869918699187,single measurement channel,single measurement channel,The equipment is required to support a single measurement channel.,1.1,ACCEPT
RFQ731-001275,4,powerSupply,1,1.585365853658537,standard power supply,standard power supply,The equipment is required to support standard power supply.,1.5,ACCEPT
RFQ731-001275,7,protectionArea,2,1.6975609756097567,operation in a hazardous area,operation in a hazardous area,"Where available, we would like operation in a hazardous area with the applicable protection requirements.",1.3,ACCEPT
RFQ731-001275,13,steamApplication,H,1.4024390243902445,steamapplication configuration,steamapplication configuration,The equipment is required to support the required steamApplication configuration.,0.2,ACCEPT
RFQ731-001275,11,temperaturEingaenge,TT1,1.2333333333333334,proposed solution must provide advanced,proposed solution must provide advanced,The proposed solution must provide advanced meter verification.,1.2,ACCEPT
RFQ731-001275,11,waveInjector,FWI,1.2333333333333334,proposed solution must provide advanced,proposed solution must provide advanced,The proposed solution must provide advanced meter verification.,1.2,ACCEPT
RFQ731-001276,9,certification,NN,1.585365853658537,standard certification package,standard certification package,"Where available, we would like the standard certification package.",0.3,ACCEPT
RFQ731-001276,3,characteristic,ST,1.4024390243902445,standard temperature,standard temperature,The application requires standard temperature application.,1.3,ACCEPT
RFQ731-001276,14,customUserFluid,1,1.6975609756097567,must provide custom fluid configuration,must provide custom fluid configuration,The proposed solution must provide custom fluid configuration.,1.3,ACCEPT
RFQ731-001276,10,dataInterface,NN,1.911764705882353,standard communication interface,standard communication interface,The equipment is required to support the standard communication interface.,1.3,ACCEPT
RFQ731-001276,7,explosionApproval,N,2.0470588235294125,does not require hazardous-area approval,does not require hazardous-area approval,The application requires the installation does not require hazardous-area approval.,1.5,ACCEPT
RFQ731-001276,16,housing,ST,2.7777777777777777,expected delivery lead time validity,expected delivery lead time validity,"Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.",0.2,ACCEPT
RFQ731-001276,6,numberOfChannels,2,1.4809451219512195,two independent measurement channels,two independent measurement channels,The equipment is required to support two independent measurement channels.,1.1,ACCEPT
RFQ731-001276,5,powerSupply,1,1.585365853658537,standard electrical supply,standard electrical supply,We require the standard electrical supply option.,1.5,ACCEPT
RFQ731-001276,15,steamApplication,H,1.4024390243902445,steamapplication configuration,steamapplication configuration,We would prefer the required steamApplication configuration.,0.2,ACCEPT
RFQ731-001276,11,stromSchaltbar,CS1,1.7858455882352944,consider a switchable current-output,consider a switchable current-output,Please consider a switchable current-output capability as a preferred option.,1.2,ACCEPT
RFQ731-001276,12,temperaturEingaenge,TT1,1.7858455882352944,we require one temperature,we require one temperature,We require one temperature measurement input.,1.2,ACCEPT
RFQ731-001276,13,waveInjector,FWI,1.2649739583333337,we require advanced low-temperature,we require advanced low-temperature,We require advanced low-temperature measurement capability.,1.2,ACCEPT
RFQ731-001277,12,binaerOpenColl_MP,MP1,1.241869918699187,an open-collector input,an open-collector input,The application requires an open-collector input capability.,1.2,ACCEPT
RFQ731-001277,9,certification,NN,1.585365853658537,standard certification package,standard certification package,The equipment is required to support the standard certification package.,0.3,ACCEPT
RFQ731-001277,3,characteristic,GP,1.4024390243902445,general-purpose configuration,general-purpose configuration,The application requires general-purpose configuration.,1.3,ACCEPT
RFQ731-001277,15,customUserFluid,1,2.0470588235294125,like a customer-specific fluid definition,like a customer-specific fluid definition,"Where available, we would like a customer-specific fluid definition.",1.3,ACCEPT
RFQ731-001277,14,dev_advMeterVerification,1,2.1323529411764706,would like enhanced verification,would like enhanced verification,The customer would like enhanced verification capabilities for maintenance.,1.5,ACCEPT
RFQ731-001277,13,dynamicGasMaster,1,1.1388541666666665,we would prefer enhanced,we would prefer enhanced,We would prefer enhanced measurement capability for demanding applications.,1.1,ACCEPT
RFQ731-001277,8,explosionApproval,A,1.660214634146342,in a protected hazardous area,in a protected hazardous area,The equipment is required to support installation in a protected hazardous area.,1.5,ACCEPT
RFQ731-001277,7,explosionApproval,K,1.691176470588235,explosionapproval configuration,explosionapproval configuration,We require the required explosionApproval configuration.,1.5,ACCEPT
RFQ731-001277,16,housing,ST,2.7777777777777777,expected delivery lead time validity,expected delivery lead time validity,"Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.",0.2,ACCEPT
RFQ731-001277,6,numberOfChannels,1,1.241869918699187,one measurement channel,one measurement channel,The equipment is required to support one measurement channel.,1.1,ACCEPT
RFQ731-001277,5,powerSupply,1,1.6975609756097567,prefer the standard electrical supply,prefer the standard electrical supply,We would prefer the standard electrical supply option.,1.5,ACCEPT
RFQ731-001277,8,protectionArea,2,3.5666666666666678,installation in a protected hazardous area,installation in a protected hazardous area,The equipment is required to support installation in a protected hazardous area.,1.3,ACCEPT
RFQ731-001277,11,stromEingaenge,IS1,1.7858455882352944,requires one current input,requires one current input,The application requires one current input.,1.5,ACCEPT
RFQ731-001277,13,waveInjector,FWI,2.7,enhanced measurement capability for demanding applications,enhanced measurement capability for demanding applications,We would prefer enhanced measurement capability for demanding applications.,1.2,ACCEPT
RFQ731-001278,12,binaerDigitalOpenColl_MN,MN1,1.741176470588235,provide a digital open-collector input,provide a digital open-collector input,"If possible, please provide a digital open-collector input.",1.4,ACCEPT
RFQ731-001278,9,certification,CN,1.2195121951219514,certification,certification,We require the required measurement certification.,0.3,ACCEPT
RFQ731-001278,3,characteristic,GP,1.6975609756097567,must provide standard process configuration,must provide standard process configuration,The proposed solution must provide standard process configuration.,1.3,ACCEPT
RFQ731-001278,15,customUserFluid,1,1.6975609756097567,must provide custom fluid configuration,must provide custom fluid configuration,The proposed solution must provide custom fluid configuration.,1.3,ACCEPT
RFQ731-001278,10,dataInterface,NN,1.7858455882352944,we require standard communication,we require standard communication,We require standard communication capability.,1.3,ACCEPT
RFQ731-001278,14,dev_advMeterVerification,1,2.2058823529411766,we would like advanced meter,we would like advanced meter,"Where available, we would like advanced meter verification.",1.5,ACCEPT
RFQ731-001278,7,explosionApproval,A,2.0470588235294125,area where the applicable hazardous-area,area where the applicable hazardous-area,The equipment will be installed in an operating area where the applicable hazardous-area requirements must be met.,1.5,ACCEPT
RFQ731-001278,16,housing,ST,2.7777777777777777,expected delivery lead time validity,expected delivery lead time validity,"Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.",0.2,ACCEPT
RFQ731-001278,6,numberOfChannels,1,1.241869918699187,one measurement channel,one measurement channel,The equipment is required to support one measurement channel.,1.1,ACCEPT
RFQ731-001278,5,powerSupply,4,1.741176470588235,requires the alternative electrical supply,requires the alternative electrical supply,The application requires the alternative electrical supply option.,1.5,ACCEPT
RFQ731-001278,8,protectionArea,2,1.6975609756097567,operation in a hazardous area,operation in a hazardous area,The equipment is required to support operation in a hazardous area with the applicable protection requirements.,1.3,ACCEPT
RFQ731-001278,11,stromEingaenge,IS1,2.0470588235294125,must provide one current input,must provide one current input,The proposed solution must provide one current input.,1.5,ACCEPT
RFQ731-001278,14,temperaturEingaenge,TT1,1.3312499999999998,available we would like advanced,available we would like advanced,"Where available, we would like advanced meter verification.",1.2,ACCEPT
RFQ731-001278,14,waveInjector,FWI,1.5625,available we would like advanced,available we would like advanced,"Where available, we would like advanced meter verification.",1.2,ACCEPT
RFQ731-001279,12,binaerDigitalOpenColl_MN,MN1,1.4439024390243906,input capability as a preferred,input capability as a preferred,Please consider an open-collector input capability as a preferred option.,1.4,ACCEPT
RFQ731-001279,12,binaerOpenColl_MP,MP1,1.6144044117647058,consider an open-collector input,consider an open-collector input,Please consider an open-collector input capability as a preferred option.,1.2,ACCEPT
RFQ731-001279,8,certification,NN,1.6975609756097567,we require standard certification documentation,we require standard certification documentation,We require standard certification documentation.,0.3,ACCEPT
RFQ731-001279,2,characteristic,ST,1.4024390243902445,standard temperature,standard temperature,The equipment is required to support standard temperature application.,1.3,ACCEPT
RFQ731-001279,14,customUserFluid,1,2.0470588235294125,we require custom fluid configuration,we require custom fluid configuration,We require custom fluid configuration.,1.3,ACCEPT
RFQ731-001279,9,dataInterface,NN,1.691176470588235,standard communication,standard communication,The equipment is required to support standard communication capability.,1.3,ACCEPT
RFQ731-001279,13,dev_advMeterVerification,1,2.0470588235294125,must provide advanced meter verification,must provide advanced meter verification,The proposed solution must provide advanced meter verification.,1.5,ACCEPT
RFQ731-001279,6,explosionApproval,A,1.7858455882352944,must provide hazardous-area operation,must provide hazardous-area operation,The proposed solution must provide hazardous-area operation.,1.5,ACCEPT
RFQ731-001279,16,housing,ST,2.7777777777777777,expected delivery lead time validity,expected delivery lead time validity,"Please include pricing, expected delivery lead time, validity of the quotation, and any relevant technical documentation with your offer.",0.2,ACCEPT
RFQ731-001279,5,numberOfChannels,1,1.741176470588235,must provide one measurement channel,must provide one measurement channel,The proposed solution must provide one measurement channel.,1.1,ACCEPT
RFQ731-001279,4,powerSupply,1,1.585365853658537,standard electrical supply,standard electrical supply,The proposed solution must provide the standard electrical supply option.,1.5,ACCEPT
RFQ731-001279,7,protectionArea,2,1.6975609756097567,operation in a hazardous area,operation in a hazardous area,We require operation in a hazardous area with the applicable protection requirements.,1.3,ACCEPT
RFQ731-001279,15,steamApplication,H,1.4024390243902445,steamapplication configuration,steamapplication configuration,We would prefer the required steamApplication configuration.,0.2,ACCEPT
RFQ731-001279,11,stromEingaenge,IS1,2.2058823529411766,we would prefer one current,we would prefer one current,We would prefer one current input.,1.5,ACCEPT
RFQ731-001279,10,stromSchaltbar,CS1,1.241869918699187,a switchable current-output,a switchable current-output,The equipment is required to support a switchable current-output capability.,1.2,ACCEPT
RFQ731-001279,11,temperaturEingaenge,TT1,1.5104166666666663,we would prefer one,we would prefer one,We would prefer one current input.,1.2,ACCEPT
RFQ731-001279,13,waveInjector,FWI,1.2333333333333334,proposed solution must provide advanced,proposed solution must provide advanced,The proposed solution must provide advanced meter verification.,1.2,ACCEPT
RFQ731-001280,12,binaerOpenColl_MP,MP1,1.4439024390243906,we require an open-collector input,we require an open-collector input,We require an open-collector input capability.,1.2,ACCEPT
