rfq_id,true_configuration_id,recommended_configuration_id,true_package,recommended_package,top1_score,top1_matches,top1_contradictions,top1_coverage,true_rank,requirements_used
RFQ731-000704,CFG731_ae226e31119be9bd,CFG731_3b2a32abbf148ca1,x731,x731,46.857142857142854,13,1,0.9285714285714286,34,14
RFQ731-000705,CFG731_e03b41992c837b34,CFG731_e03b41992c837b34,G731ST-LT,G731ST-LT,54.86666666666667,14,0,0.9333333333333333,1,15
RFQ731-000706,CFG731_30ccf87da13edf1e,CFG731_0fbee36816b7af98,x731,x731,49.76470588235294,15,1,0.8823529411764706,4,17
RFQ731-000707,CFG731_faa6b560b4d99a0a,CFG731_6b809c836e3ca8a1,x731,x731,39.84615384615385,12,1,0.9230769230769231,6,13
RFQ731-000708,CFG731_07364aa0260e0bc7,CFG731_45106eaed87837a4,x731,x731,45.857142857142854,13,1,0.9285714285714286,3,14
RFQ731-000709,CFG731_9d1ffcce07240574,CFG731_3611bb1fba248e38,x731,x731,47.84615384615385,12,0,0.9230769230769231,92,13
RFQ731-000710,CFG731_d982a98f914f0a87,CFG731_32b4b1ec4513af66,G731ST-LT,G731ST-LT,41.84615384615385,12,1,0.9230769230769231,12,13
RFQ731-000711,CFG731_4d39aa53959ccce3,CFG731_c3481d11b658e1e9,x731,x731,50.75,14,1,0.875,4,16
RFQ731-000712,CFG731_455da2f832a6b66d,CFG731_455da2f832a6b66d,G731ST-LT,G731ST-LT,51.857142857142854,13,0,0.9285714285714286,1,14
RFQ731-000713,CFG731_4eb28f7e77f7ba51,CFG731_4eb28f7e77f7ba51,x731,x731,41.75,14,2,0.875,1,16
RFQ731-000714,CFG731_20fe81ae7d0a406e,CFG731_8d07e19298d09d34,x731,x731,37.733333333333334,13,2,0.8666666666666667,8,15
RFQ731-000715,CFG731_671960d0fb04b698,CFG731_49cd4cbef1081333,G731ST-LT,G731ST-LT,52.857142857142854,13,0,0.9285714285714286,11,14
RFQ731-000716,CFG731_a59bfb67e03ca4c8,CFG731_6b36d25fda044bf5,x731,x731,52.0,13,0,1.0,107,13
RFQ731-000717,CFG731_e67173c88f9460f6,CFG731_49cd4cbef1081333,G731ST-LT,G731ST-LT,53.0,13,0,1.0,9,13
RFQ731-000718,CFG731_874928f24c55285e,CFG731_54559f782190a122,F731TE,F731TE,31.571428571428573,11,2,0.7857142857142857,3,14
RFQ731-000719,CFG731_deb3d65220135a9e,CFG731_91e51485b56960b2,x731,x731,54.86666666666667,14,0,0.9333333333333333,3,15
RFQ731-000720,CFG731_e5e722b510c96bb7,CFG731_70a71b60723e910d,x731,x731,57.0,14,0,1.0,2,14
RFQ731-000721,CFG731_4d6c56202edf3f41,CFG731_eb70dc35972dc4b7,G731ST-HT,G731ST-HT,45.84615384615385,12,0,0.9230769230769231,3,13
RFQ731-000722,CFG731_d135404efcd6265d,CFG731_c37386a371e13fa8,F731WD_DualChannel,F731WD_DualChannel,36.0,9,0,1.0,4,9
RFQ731-000723,CFG731_48cf6bd4ca59e583,CFG731_337790e6bbcf15f4,x731,x731,49.0,13,0,1.0,6,13
RFQ731-000724,CFG731_d8c69b7395beabbb,CFG731_d8c69b7395beabbb,F731TE,F731TE,37.833333333333336,11,1,0.9166666666666666,1,12
RFQ731-000725,CFG731_3c85eeb43bc9e42a,CFG731_5cfa203ca7029f1c,x731,x731,55.0,14,0,1.0,4,14
RFQ731-000726,CFG731_9676c8784fca6c61,CFG731_dc321f785d65411f,x731,x731,51.857142857142854,13,0,0.9285714285714286,10,14
RFQ731-000727,CFG731_ba522ec0a7a74924,CFG731_1f978c234895178c,x731,x731,57.0,15,0,1.0,40,15
RFQ731-000728,CFG731_a4610f5f38e7d946,CFG731_a4610f5f38e7d946,F731WD_DualChannel,F731WD_DualChannel,35.6,12,2,0.8,1,15
RFQ731-000729,CFG731_c8d4383220ad607a,CFG731_91e51485b56960b2,x731,x731,59.0,15,0,1.0,8,15
RFQ731-000730,CFG731_d4be02ad7e56a796,CFG731_3b2a32abbf148ca1,x731,x731,51.875,15,1,0.9375,11,16
RFQ731-000731,CFG731_3c070a82e4102784,CFG731_32b4b1ec4513af66,G731ST-LT,G731ST-LT,51.857142857142854,13,0,0.9285714285714286,37,14
RFQ731-000732,CFG731_16f81be390fdae7e,CFG731_91e51485b56960b2,x731,x731,62.0,16,0,1.0,3,16
RFQ731-000733,CFG731_ab67f4ca670c9841,CFG731_91e51485b56960b2,x731,x731,55.86666666666667,14,0,0.9333333333333333,2,15
RFQ731-000734,CFG731_5718ef9495972b30,CFG731_516629085c122a4e,x731,x731,54.76470588235294,15,1,0.8823529411764706,4,17
RFQ731-000735,CFG731_9c6b16fef6d02aaf,CFG731_32b4b1ec4513af66,G731ST-LT,G731ST-LT,40.84615384615385,12,1,0.9230769230769231,13,13
RFQ731-000736,CFG731_8defc1a0775e52a5,CFG731_91e51485b56960b2,x731,x731,47.84615384615385,12,0,0.9230769230769231,128,13
RFQ731-000737,CFG731_8956c16bd3b9a345,CFG731_7822370b42865359,x731,x731,56.0,14,0,1.0,2,14
RFQ731-000738,CFG731_ceb13e5602925e38,CFG731_5e61ce3b60d15e11,x731,x731,46.857142857142854,13,1,0.9285714285714286,22,14
RFQ731-000739,CFG731_c0de9fcc26bbc71b,CFG731_c0de9fcc26bbc71b,x731,x731,49.857142857142854,13,0,0.9285714285714286,1,14
RFQ731-000740,CFG731_33fed5318b1a4f2f,CFG731_8d07e19298d09d34,x731,x731,40.84615384615385,12,1,0.9230769230769231,80,13
RFQ731-000741,CFG731_04a704e692f8fd05,CFG731_5e61ce3b60d15e11,x731,x731,52.875,15,1,0.9375,6,16
RFQ731-000742,CFG731_e8331b2a91577f04,CFG731_a4610f5f38e7d946,F731WD_DualChannel,F731WD_DualChannel,34.81818181818182,10,1,0.9090909090909091,2,11
RFQ731-000743,CFG731_3d8c1bbc0ef4249a,CFG731_f79503cf8f87ea49,F731TE,F731TE,35.63636363636363,9,0,0.8181818181818182,3,11
RFQ731-000744,CFG731_9fcbeaf9d5010d3a,CFG731_9fcbeaf9d5010d3a,x731,x731,59.0,15,0,1.0,1,15
RFQ731-000745,CFG731_a4416ae9d698efa6,CFG731_a4416ae9d698efa6,G731ST-HT,G731ST-HT,46.0,12,0,1.0,1,12
RFQ731-000746,CFG731_2eae9204301f61ab,CFG731_1d89d7fdc7355744,G731ST-LT,G731ST-LT,50.857142857142854,13,0,0.9285714285714286,3,14
RFQ731-000747,CFG731_dabfe16503f243e3,CFG731_fcc72e9951376cf3,G731ST-HT,G731ST-HT,51.0,13,0,1.0,2,13
RFQ731-000748,CFG731_a4b44df449e9d78d,CFG731_a4339f07d181d686,x731,x731,60.76470588235294,15,0,0.8823529411764706,4,17
RFQ731-000749,CFG731_2a6e9b57f90048ca,CFG731_241d60e6ef5278be,x731,x731,53.76470588235294,15,1,0.8823529411764706,21,17
RFQ731-000750,CFG731_1d59f25068204b01,CFG731_32b4b1ec4513af66,G731ST-LT,G731ST-LT,41.84615384615385,12,1,0.9230769230769231,9,13
RFQ731-000751,CFG731_eea573acdafa9ee3,CFG731_6b36d25fda044bf5,x731,x731,49.86666666666667,14,1,0.9333333333333333,15,15
RFQ731-000752,CFG731_f9254a8bb3738033,CFG731_83f956404d04e6cd,x731,x731,43.733333333333334,13,1,0.8666666666666667,5,15
RFQ731-000753,CFG731_75b93da9dd9b0316,CFG731_6f8c15548921e4c2,x731,x731,48.0,12,0,1.0,23,12
RFQ731-000754,CFG731_86a2340212c01d2a,CFG731_e2d64e127f97296d,G731ST-HT,G731ST-HT,46.529411764705884,13,1,0.7647058823529411,21,17
RFQ731-000755,CFG731_c6a3ff6155563d17,CFG731_c6a3ff6155563d17,x731,x731,49.86666666666667,14,1,0.9333333333333333,1,15
RFQ731-000756,CFG731_ad49f2ad57627f46,CFG731_288e4c99b4e02895,G731ST-HT,G731ST-HT,43.833333333333336,11,0,0.9166666666666666,35,12
RFQ731-000757,CFG731_3611bb1fba248e38,CFG731_3611bb1fba248e38,x731,x731,47.86666666666667,14,1,0.9333333333333333,1,15
RFQ731-000758,CFG731_6526112621a9ee97,CFG731_6526112621a9ee97,x731,x731,52.0,13,0,1.0,1,13
RFQ731-000759,CFG731_aef3ebf3cdf884c1,CFG731_496bd7a964d6cd85,x731,x731,44.857142857142854,13,1,0.9285714285714286,13,14
RFQ731-000760,CFG731_aa8c30a4f1baca2e,CFG731_440f9c9b032b7d0a,x731,x731,53.0,13,0,1.0,4,13
RFQ731-000761,CFG731_243419c6708378b3,CFG731_243419c6708378b3,x731,x731,49.86666666666667,14,1,0.9333333333333333,1,15
RFQ731-000762,CFG731_ddfa4ab00c1bcdd0,CFG731_8d07e19298d09d34,x731,x731,48.86666666666667,14,1,0.9333333333333333,2,15
RFQ731-000763,CFG731_5c624ef6fa2b6510,CFG731_5c624ef6fa2b6510,x731,x731,51.76470588235294,15,1,0.8823529411764706,1,17
RFQ731-000764,CFG731_95a64c12c70f922a,CFG731_95a64c12c70f922a,G731CA,G731CA,39.833333333333336,11,1,0.9166666666666666,1,12
RFQ731-000765,CFG731_19ca9bcd323192d2,CFG731_abcee67081353f16,x731,x731,55.0,14,0,1.0,7,14
RFQ731-000766,CFG731_a7d2a5a9ae465701,CFG731_a7d2a5a9ae465701,F731WD_SingleChannel,F731WD_SingleChannel,47.714285714285715,12,0,0.8571428571428571,1,14
RFQ731-000767,CFG731_75466cb810218a66,CFG731_9fcbeaf9d5010d3a,x731,x731,44.857142857142854,13,1,0.9285714285714286,19,14
RFQ731-000768,CFG731_19ec976991ce75a9,CFG731_0738cd529389f266,G731CA,G731CA,37.69230769230769,11,1,0.8461538461538461,10,13
RFQ731-000769,CFG731_140a9819128d92da,CFG731_140a9819128d92da,x731,x731,54.86666666666667,14,0,0.9333333333333333,1,15
RFQ731-000770,CFG731_bdfa7cd2dbcb13f7,CFG731_4772bedc40328ae2,G731ST-LT,G731ST-LT,53.0,13,0,1.0,4,13
RFQ731-000771,CFG731_c9498cf6f4410d44,CFG731_6f8c15548921e4c2,x731,x731,43.733333333333334,13,1,0.8666666666666667,7,15
RFQ731-000772,CFG731_565e3731063ff5c5,CFG731_8d07e19298d09d34,x731,x731,33.714285714285715,12,2,0.8571428571428571,55,14
RFQ731-000773,CFG731_8a1a8cb1f6a30d3a,CFG731_8a1a8cb1f6a30d3a,x731,x731,41.714285714285715,12,1,0.8571428571428571,1,14
RFQ731-000774,CFG731_d3db38843cf9fb81,CFG731_36d7686aca1200ae,x731,x731,40.733333333333334,13,2,0.8666666666666667,172,15
RFQ731-000775,CFG731_0ef26d136a7182e8,CFG731_8d07e19298d09d34,x731,x731,38.69230769230769,11,1,0.8461538461538461,4,13
RFQ731-000776,CFG731_fd3397424975992e,CFG731_fd3397424975992e,x731,x731,59.76470588235294,15,0,0.8823529411764706,1,17
RFQ731-000777,CFG731_691a8f2ff165671d,CFG731_691a8f2ff165671d,G731CA,G731CA,40.81818181818182,10,0,0.9090909090909091,1,11
RFQ731-000778,CFG731_4b5262a517204cb5,CFG731_cf543b1c3927ab71,x731,x731,48.86666666666667,14,1,0.9333333333333333,4,15
RFQ731-000779,CFG731_ade755d80d357018,CFG731_620cb319c2b7c332,x731,x731,44.857142857142854,13,1,0.9285714285714286,21,14
RFQ731-000780,CFG731_3fe2202b70f330b1,CFG731_574aa7a29f75cd60,F731TE,F731TE,39.69230769230769,11,1,0.8461538461538461,2,13
RFQ731-000781,CFG731_b44b2e6818291871,CFG731_2e57977cf2dd500a,x731,x731,57.0,15,0,1.0,5,15
RFQ731-000782,CFG731_6472ab3bf7316498,CFG731_747411fe70ba8e8d,x731,x731,47.0,12,0,1.0,13,12
RFQ731-000783,CFG731_daff07a8bdec497b,CFG731_9fcbeaf9d5010d3a,x731,x731,53.0,13,0,1.0,67,13
RFQ731-000784,CFG731_bce0bc4b7b3a4799,CFG731_243419c6708378b3,x731,x731,48.86666666666667,14,1,0.9333333333333333,22,15
RFQ731-000785,CFG731_6e27958dc8215006,CFG731_6e27958dc8215006,x731,x731,63.88235294117647,16,0,0.9411764705882353,1,17
RFQ731-000786,CFG731_090330aa38b8e80b,CFG731_54559f782190a122,F731TE,F731TE,34.666666666666664,10,1,0.8333333333333334,7,12
RFQ731-000787,CFG731_214106ade9f79641,CFG731_49cd4cbef1081333,G731ST-LT,G731ST-LT,37.833333333333336,11,1,0.9166666666666666,36,12
RFQ731-000788,CFG731_ac8195f5cce7d089,CFG731_1f978c234895178c,x731,x731,57.0,15,0,1.0,4,15
RFQ731-000789,CFG731_31d0a0df66872bf7,CFG731_31d0a0df66872bf7,x731,x731,57.0,15,0,1.0,1,15
RFQ731-000790,CFG731_5052a216a260faff,CFG731_5052a216a260faff,x731,x731,61.0,16,0,1.0,1,16
RFQ731-000791,CFG731_07fb816f7dc25bc8,CFG731_07fb816f7dc25bc8,F731TE,F731TE,34.81818181818182,10,1,0.9090909090909091,1,11
RFQ731-000792,CFG731_1b365e0951e7dea4,CFG731_784eb334d1d77ae7,x731,x731,51.875,15,1,0.9375,12,16
RFQ731-000793,CFG731_0bb185f546403346,CFG731_98ec9650b5463fd0,G731CA,G731CA,38.833333333333336,11,1,0.9166666666666666,4,12
RFQ731-000794,CFG731_0988a349490181d9,CFG731_89772de94df83ba5,x731,x731,49.75,14,1,0.875,2,16
RFQ731-000795,CFG731_26a55fc6510692e1,CFG731_0ed9dfc7367bb0a0,x731,x731,49.0,12,0,1.0,2,12
RFQ731-000796,CFG731_25b84d9ab233c6bf,CFG731_9fa436b39059149d,x731,x731,41.0,10,0,1.0,25,10
RFQ731-000797,CFG731_ae226e31119be9bd,CFG731_3b2a32abbf148ca1,x731,x731,40.84615384615385,12,1,0.9230769230769231,7,13
RFQ731-000798,CFG731_9fd2ebe15271fc33,CFG731_27b6b45b43224be7,x731,x731,52.875,15,1,0.9375,16,16
RFQ731-000799,CFG731_4f57c7eb0fb7e785,CFG731_3b2a32abbf148ca1,x731,x731,46.857142857142854,13,1,0.9285714285714286,35,14
RFQ731-000800,CFG731_b3cd6a1a19fbc328,CFG731_70b38ab75d3ca724,x731,x731,50.857142857142854,13,0,0.9285714285714286,11,14
RFQ731-000801,CFG731_47bb86ed234fd5e6,CFG731_47bb86ed234fd5e6,x731,x731,52.0,13,0,1.0,1,13
RFQ731-000802,CFG731_efc9d6b915117e15,CFG731_efc9d6b915117e15,x731,x731,58.875,15,0,0.9375,1,16
RFQ731-000803,CFG731_b3506a753aafcfa3,CFG731_c6a3ff6155563d17,x731,x731,44.733333333333334,13,1,0.8666666666666667,8,15
RFQ731-000804,CFG731_ab9e33e0db28df11,CFG731_fd3397424975992e,x731,x731,52.0,13,0,1.0,17,13
RFQ731-000805,CFG731_94be99d48ade0efb,CFG731_94be99d48ade0efb,x731,x731,52.875,15,1,0.9375,1,16
RFQ731-000806,CFG731_daff07a8bdec497b,CFG731_1cbb464ec15ba84f,x731,x731,54.86666666666667,14,0,0.9333333333333333,7,15
RFQ731-000807,CFG731_dac27b97cd6b7ff8,CFG731_49cd4cbef1081333,G731ST-LT,G731ST-LT,38.833333333333336,11,1,0.9166666666666666,71,12
RFQ731-000808,CFG731_12089d5d54f581ac,CFG731_12089d5d54f581ac,x731,x731,49.86666666666667,14,1,0.9333333333333333,1,15
RFQ731-000809,CFG731_19ec976991ce75a9,CFG731_0738cd529389f266,G731CA,G731CA,41.6,12,1,0.8,10,15
RFQ731-000810,CFG731_868fc79316fb0836,CFG731_9fcbeaf9d5010d3a,x731,x731,48.0,12,0,1.0,5,12
RFQ731-000811,CFG731_a4610f5f38e7d946,CFG731_a4610f5f38e7d946,F731WD_DualChannel,F731WD_DualChannel,39.625,13,2,0.8125,1,16
RFQ731-000812,CFG731_8d78781f8753b72a,CFG731_6f8c15548921e4c2,x731,x731,46.0,12,0,1.0,97,12
RFQ731-000813,CFG731_4189e4dbecbffadb,CFG731_2aca30183aab25a9,G731CA,G731CA,51.733333333333334,13,0,0.8666666666666667,11,15
RFQ731-000814,CFG731_d71a39e1fcf17083,CFG731_bbffb73f3dff6787,G731ST-HT,G731ST-HT,42.714285714285715,12,1,0.8571428571428571,14,14
RFQ731-000815,CFG731_34bf8aa6c521cef0,CFG731_747411fe70ba8e8d,x731,x731,46.0,11,0,1.0,9,11
RFQ731-000816,CFG731_fa2849b259355775,CFG731_fa2849b259355775,x731,x731,41.714285714285715,12,1,0.8571428571428571,1,14
RFQ731-000817,CFG731_7962ce0b7d875608,CFG731_fd3397424975992e,x731,x731,51.857142857142854,13,0,0.9285714285714286,2,14
RFQ731-000818,CFG731_20e62aeb01c953da,CFG731_20e62aeb01c953da,x731,x731,58.0,15,0,1.0,1,15
RFQ731-000819,CFG731_7f60255816247683,CFG731_cf4bb519cec0df2f,x731,x731,58.875,15,0,0.9375,2,16
RFQ731-000820,CFG731_fab0d81b6a0ca4e0,CFG731_288e4c99b4e02895,G731ST-HT,G731ST-HT,49.0,12,0,1.0,12,12
RFQ731-000821,CFG731_159f3a6877b5a5d2,CFG731_ef044db10b586894,G731ST-LT,G731ST-LT,39.666666666666664,10,0,0.8333333333333334,21,12
RFQ731-000822,CFG731_ef6e203c92a71c88,CFG731_31b475abe3d16a99,x731,x731,59.875,15,0,0.9375,4,16
RFQ731-000823,CFG731_d27f5f5f307014a8,CFG731_5cfa203ca7029f1c,x731,x731,47.86666666666667,14,1,0.9333333333333333,4,15
RFQ731-000824,CFG731_646d8903da63e1f0,CFG731_a3b03637ed22317c,G731ST-HT,G731ST-HT,45.733333333333334,13,1,0.8666666666666667,2,15
RFQ731-000825,CFG731_5be9d749d8317fd3,CFG731_49cd4cbef1081333,G731ST-LT,G731ST-LT,52.0,13,0,1.0,2,13
RFQ731-000826,CFG731_ad54a3e31832f7d2,CFG731_e6c0885eb14e429c,G731ST-LT,G731ST-LT,41.84615384615385,12,1,0.9230769230769231,8,13
RFQ731-000827,CFG731_eea9998b9f9a0bdb,CFG731_8c50542218db5cb0,x731,x731,43.857142857142854,13,1,0.9285714285714286,8,14
RFQ731-000828,CFG731_78ea99817ca8be6a,CFG731_357a7724550c556f,x731,x731,56.0,14,0,1.0,118,14
RFQ731-000829,CFG731_91111a4a3e291c8a,CFG731_a4339f07d181d686,x731,x731,59.0,15,0,1.0,8,15
RFQ731-000830,CFG731_8d78781f8753b72a,CFG731_747411fe70ba8e8d,x731,x731,43.0,11,0,1.0,7,11
RFQ731-000831,CFG731_9267914435603df0,CFG731_89772de94df83ba5,x731,x731,38.69230769230769,11,1,0.8461538461538461,13,13
RFQ731-000832,CFG731_cb6654d77e7e4d72,CFG731_e8e7b7513a5c9544,x731,x731,42.714285714285715,12,1,0.8571428571428571,24,14
RFQ731-000833,CFG731_d7c031e2b589d088,CFG731_14269a1a57ac4cbc,x731,x731,60.0,15,0,1.0,9,15
RFQ731-000834,CFG731_d8843ca5e91f93ae,CFG731_91e51485b56960b2,x731,x731,36.0,9,0,1.0,20,9
RFQ731-000835,CFG731_77fac91021549398,CFG731_49cd4cbef1081333,G731ST-LT,G731ST-LT,51.0,13,0,1.0,37,13
RFQ731-000836,CFG731_4ba013fed31fb45f,CFG731_f1355b6f00fd7f67,x731,x731,40.84615384615385,12,1,0.9230769230769231,21,13
RFQ731-000837,CFG731_7756caaf4e5e2963,CFG731_516629085c122a4e,x731,x731,53.875,15,1,0.9375,15,16
RFQ731-000838,CFG731_8366eceddaf01e58,CFG731_f1355b6f00fd7f67,x731,x731,38.625,13,2,0.8125,4,16
RFQ731-000839,CFG731_87d8ba5b87cf0a3f,CFG731_49cd4cbef1081333,G731ST-LT,G731ST-LT,48.64705882352941,14,1,0.8235294117647058,2,17
RFQ731-000840,CFG731_2e5bd0d53757f625,CFG731_2e5bd0d53757f625,x731,x731,50.857142857142854,13,0,0.9285714285714286,1,14
RFQ731-000841,CFG731_3ac187941df4fdac,CFG731_6f8c15548921e4c2,x731,x731,47.0,12,0,1.0,25,12
RFQ731-000842,CFG731_29521f988dd233e6,CFG731_c3481d11b658e1e9,x731,x731,45.733333333333334,13,1,0.8666666666666667,69,15
RFQ731-000843,CFG731_817824ee3a762453,CFG731_d2a75fda6f761c1b,G731CA,G731CA,47.84615384615385,12,0,0.9230769230769231,2,13
RFQ731-000844,CFG731_ff04d32ca467d2a5,CFG731_4aa7d46b9cfa7d7b,G731ST-HT,G731ST-HT,41.84615384615385,12,1,0.9230769230769231,9,13
RFQ731-000845,CFG731_5bfe9492c76587ec,CFG731_b97ce0f180acf155,G731CA,G731CA,37.57142857142857,11,1,0.7857142857142857,9,14
RFQ731-000846,CFG731_63b50b6b631946e6,CFG731_6b809c836e3ca8a1,x731,x731,39.714285714285715,12,1,0.8571428571428571,4,14
RFQ731-000847,CFG731_c0f6f70a47ed04ba,CFG731_c37386a371e13fa8,F731WD_DualChannel,F731WD_DualChannel,40.666666666666664,10,0,0.8333333333333334,2,12
RFQ731-000848,CFG731_77ac60f5637770e9,CFG731_3727d181b2806370,x731,x731,45.857142857142854,13,1,0.9285714285714286,8,14
RFQ731-000849,CFG731_6d44172bc82c7ed7,CFG731_cf4bb519cec0df2f,x731,x731,53.875,15,1,0.9375,12,16
RFQ731-000850,CFG731_8216f56c8f1b8479,CFG731_8216f56c8f1b8479,G731ST-HT,G731ST-HT,53.857142857142854,13,0,0.9285714285714286,1,14
RFQ731-000851,CFG731_260c36430f7c2d03,CFG731_14299a2a74e42d7f,x731,x731,38.69230769230769,11,1,0.8461538461538461,2,13
RFQ731-000852,CFG731_bb4f0886ba308d63,CFG731_27b6b45b43224be7,x731,x731,40.84615384615385,12,1,0.9230769230769231,12,13
RFQ731-000853,CFG731_eea9998b9f9a0bdb,CFG731_135ddf5639321fb6,x731,x731,40.714285714285715,12,1,0.8571428571428571,15,14
RFQ731-000854,CFG731_c775e192f3d489e9,CFG731_c3481d11b658e1e9,x731,x731,47.0,12,0,1.0,195,12
RFQ731-000855,CFG731_ec26805bdf93259f,CFG731_ec26805bdf93259f,F731TE,F731TE,39.833333333333336,11,1,0.9166666666666666,1,12
RFQ731-000856,CFG731_ad49f2ad57627f46,CFG731_4aa7d46b9cfa7d7b,G731ST-HT,G731ST-HT,41.714285714285715,12,1,0.8571428571428571,11,14
RFQ731-000857,CFG731_4d7e108ea05eeb07,CFG731_4e59e6fc4174afa3,x731,x731,39.84615384615385,12,1,0.9230769230769231,2,13
RFQ731-000858,CFG731_95a64c12c70f922a,CFG731_95a64c12c70f922a,G731CA,G731CA,46.733333333333334,13,1,0.8666666666666667,1,15
RFQ731-000859,CFG731_6d0d64ab66a91d89,CFG731_04a53b6cc81d57d6,x731,x731,48.86666666666667,14,1,0.9333333333333333,5,15
RFQ731-000860,CFG731_54b63f2628adfc32,CFG731_54b63f2628adfc32,x731,x731,58.0,15,0,1.0,1,15
RFQ731-000861,CFG731_cb2e63f823697ceb,CFG731_cb2e63f823697ceb,x731,x731,51.857142857142854,13,0,0.9285714285714286,1,14
RFQ731-000862,CFG731_4de012f7232f644d,CFG731_e2d64e127f97296d,G731ST-HT,G731ST-HT,48.75,14,1,0.875,2,16
RFQ731-000863,CFG731_0fbee36816b7af98,CFG731_0fbee36816b7af98,x731,x731,66.0,17,0,1.0,1,17
RFQ731-000864,CFG731_1f0c09edcd967945,CFG731_1f0c09edcd967945,x731,x731,45.857142857142854,13,1,0.9285714285714286,1,14
RFQ731-000865,CFG731_9267914435603df0,CFG731_89772de94df83ba5,x731,x731,42.84615384615385,12,1,0.9230769230769231,13,13
RFQ731-000866,CFG731_af755e9c46cfadd4,CFG731_e1c54b5b080fabb2,x731,x731,35.69230769230769,11,1,0.8461538461538461,6,13
RFQ731-000867,CFG731_7157b3d45716ad8f,CFG731_33fed5318b1a4f2f,x731,x731,51.0,13,0,1.0,2,13
RFQ731-000868,CFG731_acd18bc8a73cfdde,CFG731_acd18bc8a73cfdde,x731,x731,53.875,15,1,0.9375,1,16
RFQ731-000869,CFG731_b60961340903daf0,CFG731_4e59e6fc4174afa3,x731,x731,33.81818181818182,10,1,0.9090909090909091,9,11
RFQ731-000870,CFG731_ee8e327bbb737abf,CFG731_6357400dd5c2804a,F731WD_SingleChannel,F731WD_SingleChannel,30.8,9,1,0.9,5,10
RFQ731-000871,CFG731_14235f3888d71408,CFG731_14235f3888d71408,G731CA,G731CA,54.0,13,0,1.0,1,13
RFQ731-000872,CFG731_7895bfd97573c2b8,CFG731_579057193c092394,x731,x731,49.86666666666667,14,1,0.9333333333333333,8,15
RFQ731-000873,CFG731_e98d2be876599c40,CFG731_e98d2be876599c40,F731WD_SingleChannel,F731WD_SingleChannel,41.84615384615385,12,1,0.9230769230769231,1,13
RFQ731-000874,CFG731_6357400dd5c2804a,CFG731_6357400dd5c2804a,F731WD_SingleChannel,F731WD_SingleChannel,39.666666666666664,10,0,0.8333333333333334,1,12
RFQ731-000875,CFG731_b7c5e5eddd92ed3a,CFG731_c3481d11b658e1e9,x731,x731,48.86666666666667,14,1,0.9333333333333333,20,15
RFQ731-000876,CFG731_c32627af59ba1526,CFG731_8b18ac1c34209d63,G731ST-HT,G731ST-HT,52.0,13,0,1.0,5,13
RFQ731-000877,CFG731_4340f11ba9a46e42,CFG731_357a7724550c556f,x731,x731,54.0,14,0,1.0,58,14
RFQ731-000878,CFG731_ec26805bdf93259f,CFG731_d8c69b7395beabbb,F731TE,F731TE,35.81818181818182,10,1,0.9090909090909091,3,11
RFQ731-000879,CFG731_214b769209164299,CFG731_fb16e30f5bbb87f2,x731,x731,40.84615384615385,12,1,0.9230769230769231,3,13
RFQ731-000880,CFG731_1d89d7fdc7355744,CFG731_1d89d7fdc7355744,G731ST-LT,G731ST-LT,52.0,13,0,1.0,1,13
RFQ731-000881,CFG731_076cad91966d4c34,CFG731_8b18ac1c34209d63,G731ST-HT,G731ST-HT,54.0,14,0,1.0,2,14
RFQ731-000882,CFG731_0dd81a588b2a1411,CFG731_0fdf5c36c9c41e69,G731ST-LT,G731ST-LT,48.75,14,1,0.875,5,16
RFQ731-000883,CFG731_48e71c5ae6615397,CFG731_48e71c5ae6615397,x731,x731,49.0,13,0,1.0,1,13
RFQ731-000884,CFG731_608c0251ef380592,CFG731_608c0251ef380592,x731,x731,58.0,15,0,1.0,1,15
RFQ731-000885,CFG731_7756caaf4e5e2963,CFG731_140a9819128d92da,x731,x731,48.86666666666667,14,1,0.9333333333333333,6,15
RFQ731-000886,CFG731_c7ca2f069d01e42d,CFG731_c7ca2f069d01e42d,G731CA,G731CA,35.6,12,2,0.8,1,15
RFQ731-000887,CFG731_b418359232bf5862,CFG731_219ac3d01befd6d1,x731,x731,48.86666666666667,14,1,0.9333333333333333,21,15
RFQ731-000888,CFG731_0e0f01b5586b92da,CFG731_455da2f832a6b66d,G731ST-LT,G731ST-LT,45.733333333333334,13,1,0.8666666666666667,5,15
RFQ731-000889,CFG731_16b53411ff7f6c9b,CFG731_0738cd529389f266,G731CA,G731CA,37.69230769230769,11,1,0.8461538461538461,12,13
RFQ731-000890,CFG731_750dd83a06ba43cb,CFG731_e03b41992c837b34,G731ST-LT,G731ST-LT,49.86666666666667,14,1,0.9333333333333333,2,15
RFQ731-000891,CFG731_c1d02f1d1235ec05,CFG731_6bdadac99b2f7b39,x731,x731,46.666666666666664,15,2,0.8333333333333334,3,18
RFQ731-000892,CFG731_ef211cb97feaddc8,CFG731_a9f22ebc14287e5d,F731PW,F731PW,37.8,9,0,0.9,5,10
RFQ731-000893,CFG731_8b18ac1c34209d63,CFG731_8b18ac1c34209d63,G731ST-HT,G731ST-HT,48.75,14,1,0.875,1,16
RFQ731-000894,CFG731_646d8903da63e1f0,CFG731_bbffb73f3dff6787,G731ST-HT,G731ST-HT,43.733333333333334,13,1,0.8666666666666667,4,15
