rfq_id,true_configuration_id,true_package,true_rank,recommended_configuration_id,recommended_package,requirements_used
RFQ731-000934,CFG731_ade755d80d357018,x731,44,CFG731_3b2a32abbf148ca1,x731,15
RFQ731-000947,CFG731_5be384035f37d372,G731ST-LT,17,CFG731_32b4b1ec4513af66,G731ST-LT,12
RFQ731-000951,CFG731_af36a6c70f11950b,x731,13,CFG731_241d60e6ef5278be,x731,14
RFQ731-000960,CFG731_515a31451814aae9,G731ST-LT,50,CFG731_32b4b1ec4513af66,G731ST-LT,14
RFQ731-000963,CFG731_0ef26d136a7182e8,x731,17,CFG731_8d07e19298d09d34,x731,13
RFQ731-000964,CFG731_3ada8d565667279d,x731,22,CFG731_34e092c266a308aa,x731,14
RFQ731-000968,CFG731_ad85e442c9239be7,G731ST-HT,26,CFG731_b3ed2928d6d65710,G731ST-HT,12
RFQ731-000970,CFG731_aa68f1da5062cc70,x731,11,CFG731_04a53b6cc81d57d6,x731,16
RFQ731-000971,CFG731_9c6b16fef6d02aaf,G731ST-LT,50,CFG731_32b4b1ec4513af66,G731ST-LT,12
RFQ731-000973,CFG731_c775e192f3d489e9,x731,28,CFG731_241d60e6ef5278be,x731,13
RFQ731-000977,CFG731_8634a8a0a780401d,x731,67,CFG731_241d60e6ef5278be,x731,14
RFQ731-000990,CFG731_b228aa35c0b027ac,x731,11,CFG731_e8e7b7513a5c9544,x731,15
RFQ731-000995,CFG731_6472ab3bf7316498,x731,19,CFG731_747411fe70ba8e8d,x731,9
RFQ731-000996,CFG731_a77e5e082c8f0465,x731,16,CFG731_da02526d254e2e35,x731,18
RFQ731-000998,CFG731_a7aba912cacdcceb,x731,16,CFG731_219ac3d01befd6d1,x731,10
RFQ731-001000,CFG731_a69c8345e2cbb480,G731ST-HT,25,CFG731_076cad91966d4c34,G731ST-HT,16
RFQ731-001003,CFG731_956456fc074ebc5a,F731PW,14,CFG731_a9f22ebc14287e5d,F731PW,10
RFQ731-001005,CFG731_9ccdadb28a07accd,x731,122,CFG731_2e57977cf2dd500a,x731,12
RFQ731-001011,CFG731_91a62b1e0bf4bbce,x731,68,CFG731_3b2a32abbf148ca1,x731,10
RFQ731-001017,CFG731_98e30468f83e5da1,x731,27,CFG731_6bdadac99b2f7b39,x731,12
RFQ731-001021,CFG731_d258fff6b39ba941,x731,33,CFG731_31aa13473958d7d3,x731,15
RFQ731-001028,CFG731_3a955b973baab5a5,x731,19,CFG731_759c265a697372ea,x731,16
RFQ731-001029,CFG731_85891d97ce4083b3,x731,72,CFG731_28ac43a93658ad6b,x731,15
RFQ731-001033,CFG731_28ed390fb80cb66f,x731,205,CFG731_94be99d48ade0efb,x731,15
RFQ731-001036,CFG731_f7f0034a8b15f329,x731,18,CFG731_3b2a32abbf148ca1,x731,13
RFQ731-001038,CFG731_d4be02ad7e56a796,x731,21,CFG731_3b2a32abbf148ca1,x731,15
RFQ731-001040,CFG731_adfa7e5b1355ce87,G731ST-LT,33,CFG731_49cd4cbef1081333,G731ST-LT,12
RFQ731-001041,CFG731_08efe1333b2d7967,x731,110,CFG731_214b093bf98ca9ef,x731,12
RFQ731-001043,CFG731_784eb334d1d77ae7,x731,50,CFG731_28ac43a93658ad6b,x731,16
RFQ731-001051,CFG731_d622722cfe4eb872,x731,21,CFG731_620cb319c2b7c332,x731,12
RFQ731-001053,CFG731_fa91f60062985c6d,G731ST-HT,19,CFG731_4aa7d46b9cfa7d7b,G731ST-HT,15
RFQ731-001066,CFG731_8e97bb2bec352a2c,x731,57,CFG731_1f978c234895178c,x731,16
RFQ731-001067,CFG731_4f57c7eb0fb7e785,x731,73,CFG731_3b2a32abbf148ca1,x731,11
RFQ731-001069,CFG731_82b31fa8518668d4,x731,16,CFG731_1f978c234895178c,x731,14
RFQ731-001071,CFG731_b418359232bf5862,x731,15,CFG731_219ac3d01befd6d1,x731,15
RFQ731-001072,CFG731_0c5cd97f5c20149b,x731,19,CFG731_83f956404d04e6cd,x731,12
RFQ731-001076,CFG731_073f991a6c9a4683,x731,12,CFG731_aa082226d44cd876,x731,15
RFQ731-001082,CFG731_7fec165d30a3c1b5,x731,11,CFG731_a4339f07d181d686,x731,16
RFQ731-001090,CFG731_bcb75237dcbc3975,x731,19,CFG731_021f4647ad1035b8,x731,17
RFQ731-001093,CFG731_0d3b04d12b4208a2,x731,15,CFG731_5c624ef6fa2b6510,x731,14
RFQ731-001102,CFG731_147ff4a19b4bcc48,x731,78,CFG731_0fbee36816b7af98,x731,17
RFQ731-001104,CFG731_c3b5b1049b2ed7bb,x731,14,CFG731_747411fe70ba8e8d,x731,13
RFQ731-001105,CFG731_c3a136a8630f644d,G731ST-HT,32,CFG731_8b18ac1c34209d63,G731ST-HT,15
RFQ731-001107,CFG731_52a32c0fb4bd3f9a,x731,57,CFG731_3b2a32abbf148ca1,x731,16
RFQ731-001111,CFG731_0e65994bfbb04e39,x731,17,CFG731_2683cf7e09782f5e,x731,16
RFQ731-001116,CFG731_14ec1773441318c2,x731,24,CFG731_e1c54b5b080fabb2,x731,12
RFQ731-001117,CFG731_4da2b3fd83325505,x731,86,CFG731_1f978c234895178c,x731,13
RFQ731-001121,CFG731_8634a8a0a780401d,x731,84,CFG731_3b2a32abbf148ca1,x731,13
RFQ731-001124,CFG731_28ed390fb80cb66f,x731,69,CFG731_f030e97d69c5c359,x731,13
RFQ731-001134,CFG731_b7a7770d19b6f648,G731ST-HT,64,CFG731_e2d64e127f97296d,G731ST-HT,13
RFQ731-001138,CFG731_967a77b57dcbfcb0,x731,14,CFG731_219ac3d01befd6d1,x731,13
RFQ731-001139,CFG731_b5710e5f11e2cbc2,G731ST-HT,22,CFG731_4aa7d46b9cfa7d7b,G731ST-HT,14
RFQ731-001140,CFG731_f840cb2b069bdaac,x731,11,CFG731_496bd7a964d6cd85,x731,16
RFQ731-001141,CFG731_b418359232bf5862,x731,15,CFG731_219ac3d01befd6d1,x731,15
RFQ731-001142,CFG731_4e59e6fc4174afa3,x731,29,CFG731_7962ce0b7d875608,x731,12
RFQ731-001143,CFG731_92fbdd06b7923fc1,x731,131,CFG731_509cb555eca833a1,x731,16
RFQ731-001146,CFG731_3a443cba223b0ece,x731,49,CFG731_e8e7b7513a5c9544,x731,14
RFQ731-001148,CFG731_007c0829be0a9482,x731,19,CFG731_1f978c234895178c,x731,15
RFQ731-001149,CFG731_550d755cbeee6b89,x731,23,CFG731_d9c736acc178c66d,x731,16
RFQ731-001158,CFG731_4f57c7eb0fb7e785,x731,141,CFG731_6f8c15548921e4c2,x731,11
RFQ731-001160,CFG731_a59cc7e57b856164,x731,34,CFG731_8d2c10e2688ee31d,x731,17
RFQ731-001171,CFG731_bf623a3fc4d39d84,x731,17,CFG731_f1355b6f00fd7f67,x731,14
RFQ731-001174,CFG731_9267914435603df0,x731,13,CFG731_89772de94df83ba5,x731,14
RFQ731-001175,CFG731_8a33ad6b36ecf204,x731,33,CFG731_8d07e19298d09d34,x731,14
RFQ731-001180,CFG731_086fcc478b89cea3,x731,13,CFG731_e8e7b7513a5c9544,x731,14
RFQ731-001183,CFG731_72c610ffb054f7c4,G731ST-HT,11,CFG731_4aa7d46b9cfa7d7b,G731ST-HT,13
RFQ731-001184,CFG731_bae6e4f47f3132d8,x731,30,CFG731_3b2a32abbf148ca1,x731,17
RFQ731-001185,CFG731_184ec550d64fe37e,x731,97,CFG731_70b38ab75d3ca724,x731,14
RFQ731-001188,CFG731_d22124ab181ae0a4,x731,16,CFG731_579057193c092394,x731,15
RFQ731-001194,CFG731_cf543b1c3927ab71,x731,101,CFG731_94be99d48ade0efb,x731,19
RFQ731-001200,CFG731_db395082b1a3b8ac,x731,21,CFG731_89772de94df83ba5,x731,13
RFQ731-001203,CFG731_4af82641f975d9aa,G731CA,15,CFG731_0738cd529389f266,G731CA,11
RFQ731-001207,CFG731_0d3b04d12b4208a2,x731,28,CFG731_5c624ef6fa2b6510,x731,15
RFQ731-001208,CFG731_96d353c7a2763a68,x731,23,CFG731_8a1a8cb1f6a30d3a,x731,16
RFQ731-001214,CFG731_4d6c56202edf3f41,G731ST-HT,38,CFG731_288e4c99b4e02895,G731ST-HT,11
RFQ731-001216,CFG731_8ce087647633b913,x731,19,CFG731_219ac3d01befd6d1,x731,14
RFQ731-001223,CFG731_7203705eed387b0a,G731ST-LT,28,CFG731_32b4b1ec4513af66,G731ST-LT,14
RFQ731-001227,CFG731_72c610ffb054f7c4,G731ST-HT,14,CFG731_4aa7d46b9cfa7d7b,G731ST-HT,14
RFQ731-001230,CFG731_4065adeeb89ecb2b,x731,50,CFG731_c3481d11b658e1e9,x731,16
RFQ731-001238,CFG731_b2ad61cdb45a54fb,x731,52,CFG731_7822370b42865359,x731,15
RFQ731-001242,CFG731_be2582bdf5536cbf,x731,24,CFG731_27b6b45b43224be7,x731,15
RFQ731-001247,CFG731_fa2849b259355775,x731,72,CFG731_8d07e19298d09d34,x731,13
RFQ731-001249,CFG731_cc47430fac8438be,G731ST-LT,12,CFG731_49cd4cbef1081333,G731ST-LT,15
RFQ731-001251,CFG731_f5876a81d70adf82,x731,12,CFG731_b3506a753aafcfa3,x731,12
RFQ731-001252,CFG731_22ee4ff4a2fef4e6,x731,56,CFG731_b1693ef6b18686ac,x731,16
RFQ731-001258,CFG731_cb1aeeb79876dd06,x731,127,CFG731_c11c5ee5deff9a1e,x731,13
RFQ731-001261,CFG731_9c21848fed1f6e04,x731,40,CFG731_6b36d25fda044bf5,x731,14
RFQ731-001268,CFG731_cd4f211fbf872f2e,x731,12,CFG731_219ac3d01befd6d1,x731,16
RFQ731-001275,CFG731_9e44a82e6c1db982,G731ST-LT,21,CFG731_49cd4cbef1081333,G731ST-LT,16
RFQ731-001291,CFG731_5bfe9492c76587ec,G731CA,16,CFG731_b43582909c828d95,G731CA,14
RFQ731-001294,CFG731_8ce087647633b913,x731,13,CFG731_219ac3d01befd6d1,x731,15
RFQ731-001298,CFG731_e3fb1c7106d0cf73,x731,12,CFG731_2e57977cf2dd500a,x731,14
RFQ731-001302,CFG731_7a941b9a49372410,x731,17,CFG731_70b38ab75d3ca724,x731,15
RFQ731-001305,CFG731_ae2e4cfccaff4f50,G731ST-LT,19,CFG731_49cd4cbef1081333,G731ST-LT,14
RFQ731-001308,CFG731_b2ad61cdb45a54fb,x731,134,CFG731_7822370b42865359,x731,15
RFQ731-001315,CFG731_6e53621a73b55f2c,G731ST-HT,24,CFG731_7b2f69a7ca55041b,G731ST-HT,15
RFQ731-001317,CFG731_adf1bbb0fbae3d43,G731ST-LT,14,CFG731_0fdf5c36c9c41e69,G731ST-LT,14
RFQ731-001318,CFG731_0f0d5e28351801c5,x731,15,CFG731_6526112621a9ee97,x731,15
RFQ731-001320,CFG731_9eee2266c8068ada,x731,56,CFG731_6bdadac99b2f7b39,x731,14
RFQ731-001321,CFG731_d432b6fd40e9e78c,G731ST-LT,32,CFG731_e03b41992c837b34,G731ST-LT,13
RFQ731-001325,CFG731_2bbfd30aeb5b5782,x731,18,CFG731_83f956404d04e6cd,x731,16
RFQ731-001329,CFG731_a385518a9f31baa0,x731,16,CFG731_d19bd87a4eba7364,x731,15
RFQ731-001331,CFG731_76d13dd0246c6ccc,x731,160,CFG731_927f189839c665ae,x731,12
RFQ731-001333,CFG731_932b427eaa87c8fa,x731,81,CFG731_4346df46838fd57e,x731,14
RFQ731-001339,CFG731_37f66c3948c00e57,G731ST-HT,47,CFG731_e7ac403b81e86f8f,G731ST-HT,12
RFQ731-001341,CFG731_a72f99e8160efda6,F731TE,13,CFG731_07fb816f7dc25bc8,F731TE,13
RFQ731-001344,CFG731_0893c2d75c71d33c,x731,59,CFG731_2e6a2f2496db9434,x731,16
RFQ731-001345,CFG731_5c624ef6fa2b6510,x731,74,CFG731_05cf1a0209b4f9a8,x731,17
RFQ731-001346,CFG731_5bf68569c7ddfc7c,G731ST-LT,22,CFG731_49cd4cbef1081333,G731ST-LT,14
RFQ731-001354,CFG731_0db950a4979d2c52,x731,72,CFG731_5dd42015f6f61801,x731,16
RFQ731-001355,CFG731_86a2340212c01d2a,G731ST-HT,13,CFG731_e2d64e127f97296d,G731ST-HT,15
RFQ731-001360,CFG731_134ecd7b8190bed1,x731,56,CFG731_31b475abe3d16a99,x731,16
RFQ731-001371,CFG731_27f3f9fc0b2e1643,x731,58,CFG731_1f978c234895178c,x731,14
RFQ731-001375,CFG731_27ec8892eacc701d,x731,11,CFG731_5b4a5fddf8aa5e11,x731,14
RFQ731-001385,CFG731_77fac91021549398,G731ST-LT,12,CFG731_49cd4cbef1081333,G731ST-LT,16
RFQ731-001388,CFG731_7bb3a18bcb60bab4,x731,269,CFG731_6bdadac99b2f7b39,x731,9
RFQ731-001389,CFG731_c9344715918cf412,G731ST-HT,15,CFG731_b3ed2928d6d65710,G731ST-HT,14
RFQ731-001396,CFG731_ef7dc9987c0ff289,x731,42,CFG731_70a71b60723e910d,x731,14
RFQ731-001397,CFG731_8bd839e0c8855562,x731,21,CFG731_df5f598a914fb1cc,x731,12
RFQ731-001398,CFG731_b3cd6a1a19fbc328,x731,11,CFG731_70b38ab75d3ca724,x731,13
RFQ731-001402,CFG731_5cfa203ca7029f1c,x731,27,CFG731_71dcda3a004aaa52,x731,16
RFQ731-001403,CFG731_1f0c09edcd967945,x731,23,CFG731_8d07e19298d09d34,x731,15
RFQ731-001404,CFG731_5be384035f37d372,G731ST-LT,15,CFG731_455da2f832a6b66d,G731ST-LT,15
RFQ731-001406,CFG731_fb9edbaa4769eb64,x731,32,CFG731_05cf1a0209b4f9a8,x731,17
RFQ731-001411,CFG731_0893c2d75c71d33c,x731,127,CFG731_0fbee36816b7af98,x731,14
RFQ731-001412,CFG731_5718ef9495972b30,x731,66,CFG731_509cb555eca833a1,x731,14
RFQ731-001420,CFG731_7756caaf4e5e2963,x731,38,CFG731_516629085c122a4e,x731,18
RFQ731-001421,CFG731_68193b179adae994,G731ST-HT,26,CFG731_8b18ac1c34209d63,G731ST-HT,15
RFQ731-001424,CFG731_f84a3b5f8ae2ffee,x731,47,CFG731_b1693ef6b18686ac,x731,15
RFQ731-001425,CFG731_f55693c6f4f3dcb0,x731,101,CFG731_05cf1a0209b4f9a8,x731,15
RFQ731-001430,CFG731_b92916814fce7b8e,x731,12,CFG731_e5a85c19cf4647dd,x731,16
RFQ731-001433,CFG731_7733a6e26ede07b9,x731,18,CFG731_c39096767a7ae083,x731,12
RFQ731-001436,CFG731_a7a446c7f3b3183f,x731,17,CFG731_e705c6e8d4b9cc85,x731,11
RFQ731-001437,CFG731_b339d839e10eb209,x731,69,CFG731_83f956404d04e6cd,x731,10
RFQ731-001439,CFG731_7cbccce939e500bd,x731,86,CFG731_4ed713e2b6c74ca8,x731,14
RFQ731-001440,CFG731_4afe4cfa02474e97,x731,31,CFG731_6b36d25fda044bf5,x731,13
RFQ731-001447,CFG731_e513d349f418c5df,x731,34,CFG731_54b63f2628adfc32,x731,14
RFQ731-001449,CFG731_0f0d5e28351801c5,x731,43,CFG731_1642db5c21ada469,x731,13
RFQ731-001451,CFG731_3a6a87d7cf07cb7c,x731,59,CFG731_7f60255816247683,x731,16
RFQ731-001456,CFG731_c39096767a7ae083,x731,28,CFG731_f87794e7a98d0b11,x731,16
RFQ731-001463,CFG731_e0009be417f51ccd,G731ST-LT,29,CFG731_32b4b1ec4513af66,G731ST-LT,14
RFQ731-001465,CFG731_9ccdadb28a07accd,x731,11,CFG731_83f956404d04e6cd,x731,14
RFQ731-001466,CFG731_703ec3e14f55366e,x731,120,CFG731_f1355b6f00fd7f67,x731,11
RFQ731-001468,CFG731_1515931f201451d5,x731,12,CFG731_91e51485b56960b2,x731,13
RFQ731-001475,CFG731_175dfbf580a50b51,x731,19,CFG731_219ac3d01befd6d1,x731,15
RFQ731-001478,CFG731_a7a446c7f3b3183f,x731,11,CFG731_a9ec8cda9130252f,x731,12
RFQ731-001481,CFG731_de1b4a889540ef0e,x731,92,CFG731_9e4fccece4d272d3,x731,16
RFQ731-001486,CFG731_16bd4e059b8168a9,x731,24,CFG731_4db630d9810b0f27,x731,13
RFQ731-001489,CFG731_7733a6e26ede07b9,x731,18,CFG731_c39096767a7ae083,x731,11
RFQ731-001490,CFG731_db395082b1a3b8ac,x731,119,CFG731_ef980c35ed5ff3e4,x731,14
RFQ731-001494,CFG731_3781457447e45e13,G731CA,15,CFG731_c7ca2f069d01e42d,G731CA,12
RFQ731-001500,CFG731_5789f006b670582c,x731,28,CFG731_e8e7b7513a5c9544,x731,12
RFQ731-001508,CFG731_5c80dfb541787e3e,G731ST-HT,13,CFG731_8b18ac1c34209d63,G731ST-HT,15
RFQ731-001509,CFG731_576db798689c655c,x731,21,CFG731_4db630d9810b0f27,x731,13
RFQ731-001515,CFG731_3c45363d4a341d20,G731ST-LT,23,CFG731_32b4b1ec4513af66,G731ST-LT,14
RFQ731-001535,CFG731_21cf39d47f0d98ac,x731,140,CFG731_6f8c15548921e4c2,x731,11
RFQ731-001537,CFG731_da03b61dd1a0eef7,x731,64,CFG731_59f86789e43d86f1,x731,15
RFQ731-001540,CFG731_93ba38caebb455ef,x731,61,CFG731_3662a471d9ce3167,x731,15
RFQ731-001545,CFG731_584d4f5b54752e2e,x731,90,CFG731_1f978c234895178c,x731,14
RFQ731-001546,CFG731_696639c1a9f714c1,x731,201,CFG731_b4f65e97f91c3587,x731,16
RFQ731-001550,CFG731_23b68b2dd2793a5e,G731ST-LT,28,CFG731_d3e51804db148a52,G731ST-LT,11
RFQ731-001552,CFG731_5e50b9bcbfa0b051,x731,13,CFG731_8c50542218db5cb0,x731,15
RFQ731-001559,CFG731_b46f92852addf866,G731ST-HT,27,CFG731_c32627af59ba1526,G731ST-HT,11
RFQ731-001562,CFG731_e2e04c46506a7f9d,x731,21,CFG731_be171d4bbfab2b66,x731,13
RFQ731-001564,CFG731_d05c8278d6301e9d,x731,14,CFG731_c11c5ee5deff9a1e,x731,15
RFQ731-001565,CFG731_7c78a4beb9b12eb2,x731,50,CFG731_1f978c234895178c,x731,14
RFQ731-001570,CFG731_0064bc7bf2ed5868,x731,726,CFG731_3b2a32abbf148ca1,x731,10
RFQ731-001580,CFG731_dc326dfb039445c4,x731,17,CFG731_6e27958dc8215006,x731,15
RFQ731-001596,CFG731_8048d4394d2fbde3,x731,203,CFG731_6f8c15548921e4c2,x731,10
RFQ731-001616,CFG731_aba447e5ca3ac7ba,x731,18,CFG731_6f8c15548921e4c2,x731,11
RFQ731-001620,CFG731_8b9239fd1c516750,x731,223,CFG731_2e57977cf2dd500a,x731,14
RFQ731-001624,CFG731_5be5a82ac0b29989,x731,163,CFG731_927f189839c665ae,x731,13
RFQ731-001628,CFG731_399a488b9c799644,x731,85,CFG731_c3481d11b658e1e9,x731,14
RFQ731-001634,CFG731_59f86789e43d86f1,x731,17,CFG731_9fcbfc87f6f15988,x731,15
RFQ731-001635,CFG731_9fa436b39059149d,x731,29,CFG731_7962ce0b7d875608,x731,13
RFQ731-001637,CFG731_adf1bbb0fbae3d43,G731ST-LT,14,CFG731_0fdf5c36c9c41e69,G731ST-LT,14
RFQ731-001640,CFG731_d4a9fe62acefba0d,x731,29,CFG731_b4987f1c95e91d0d,x731,16
RFQ731-001642,CFG731_11a99741e1f7cce9,x731,90,CFG731_8d07e19298d09d34,x731,15
RFQ731-001643,CFG731_7a941b9a49372410,x731,51,CFG731_70b38ab75d3ca724,x731,15
RFQ731-001644,CFG731_584d4f5b54752e2e,x731,87,CFG731_1f978c234895178c,x731,14
RFQ731-001645,CFG731_aa4779c40e6c2de0,G731ST-HT,28,CFG731_e7ac403b81e86f8f,G731ST-HT,12
RFQ731-001654,CFG731_9eee2266c8068ada,x731,104,CFG731_6bdadac99b2f7b39,x731,16
RFQ731-001655,CFG731_5d2495d91e9fa868,x731,22,CFG731_cb3a6f924677049e,x731,14
RFQ731-001659,CFG731_5619990314e85743,x731,17,CFG731_e8e7b7513a5c9544,x731,14
RFQ731-001660,CFG731_257fecba9143d12f,x731,91,CFG731_c8308576aedaf2a4,x731,14
RFQ731-001667,CFG731_acd18bc8a73cfdde,x731,16,CFG731_79d5571d44c945f6,x731,17
RFQ731-001668,CFG731_cf4fb8862e2ab5fc,G731ST-HT,27,CFG731_7b2f69a7ca55041b,G731ST-HT,17
RFQ731-001673,CFG731_c9c2eeedbcdb5160,x731,18,CFG731_618cb6c1c21feda4,x731,13
RFQ731-001676,CFG731_bb4f0886ba308d63,x731,351,CFG731_be171d4bbfab2b66,x731,14
RFQ731-001677,CFG731_1147f9711c4bff84,x731,181,CFG731_e1c54b5b080fabb2,x731,12
RFQ731-001678,CFG731_95e2d680672ff303,x731,12,CFG731_9c182e1af1606c9d,x731,13
RFQ731-001683,CFG731_5f07d1fd22503872,x731,71,CFG731_f1355b6f00fd7f67,x731,11
RFQ731-001684,CFG731_b228aa35c0b027ac,x731,18,CFG731_e8e7b7513a5c9544,x731,14
RFQ731-001685,CFG731_1b365e0951e7dea4,x731,166,CFG731_31aa13473958d7d3,x731,16
RFQ731-001693,CFG731_09db81b4dee54f57,x731,13,CFG731_75466cb810218a66,x731,12
RFQ731-001694,CFG731_77a90bfd81b5c2c1,x731,16,CFG731_a4339f07d181d686,x731,16
RFQ731-001704,CFG731_cc47430fac8438be,G731ST-LT,52,CFG731_49cd4cbef1081333,G731ST-LT,15
RFQ731-001707,CFG731_2e9ef53f42218763,x731,17,CFG731_91e51485b56960b2,x731,12
RFQ731-001712,CFG731_3727d181b2806370,x731,20,CFG731_3823a7587dcc8acd,x731,16
RFQ731-001713,CFG731_7994662aa688a3b5,G731ST-LT,30,CFG731_32b4b1ec4513af66,G731ST-LT,14
RFQ731-001715,CFG731_1642db5c21ada469,x731,129,CFG731_63eea9420833169a,x731,15
RFQ731-001718,CFG731_9ceb267c59e4f006,G731ST-LT,31,CFG731_49cd4cbef1081333,G731ST-LT,12
RFQ731-001719,CFG731_c670511258ae4a49,x731,15,CFG731_ae4ea28b1eaeb3df,x731,11
RFQ731-001721,CFG731_9f5e30c041afd4b8,x731,28,CFG731_05cf1a0209b4f9a8,x731,17
RFQ731-001728,CFG731_fcf6a3b44d96735f,G731ST-HT,23,CFG731_e2d64e127f97296d,G731ST-HT,11
RFQ731-001729,CFG731_ceb13e5602925e38,x731,51,CFG731_496bd7a964d6cd85,x731,14
RFQ731-001732,CFG731_d982a98f914f0a87,G731ST-LT,12,CFG731_32b4b1ec4513af66,G731ST-LT,14
RFQ731-001734,CFG731_5619990314e85743,x731,12,CFG731_8d07e19298d09d34,x731,14
RFQ731-001738,CFG731_b65f8c1aefa2a95b,x731,33,CFG731_45106eaed87837a4,x731,15
RFQ731-001740,CFG731_186348c5f967a6f7,x731,73,CFG731_70b38ab75d3ca724,x731,13
RFQ731-001744,CFG731_2a62b8cc0f0cd468,x731,16,CFG731_c41fd04f9eea78e7,x731,10
RFQ731-001760,CFG731_70aa5a64b0803277,x731,103,CFG731_70b38ab75d3ca724,x731,16
RFQ731-001763,CFG731_219ac3d01befd6d1,x731,21,CFG731_da02526d254e2e35,x731,16
RFQ731-001764,CFG731_6d44172bc82c7ed7,x731,12,CFG731_cf4bb519cec0df2f,x731,16
RFQ731-001769,CFG731_13c137be155b0bd9,x731,60,CFG731_496bd7a964d6cd85,x731,15
RFQ731-001770,CFG731_a92ad5294d9187e9,x731,14,CFG731_e1c54b5b080fabb2,x731,12
RFQ731-001778,CFG731_aa4779c40e6c2de0,G731ST-HT,14,CFG731_bbffb73f3dff6787,G731ST-HT,14
RFQ731-001784,CFG731_5cae68c0a1d5db32,x731,12,CFG731_e8e7b7513a5c9544,x731,12
RFQ731-001785,CFG731_5362e45ac22e6417,x731,17,CFG731_579057193c092394,x731,15
RFQ731-001787,CFG731_168475c8045761e7,G731ST-HT,11,CFG731_4aa7d46b9cfa7d7b,G731ST-HT,15
RFQ731-001789,CFG731_df5f598a914fb1cc,x731,24,CFG731_27b6b45b43224be7,x731,16
RFQ731-001793,CFG731_65b9beb5d5675c99,x731,14,CFG731_e8e7b7513a5c9544,x731,17
RFQ731-001795,CFG731_388928540067c900,x731,26,CFG731_6bdadac99b2f7b39,x731,14
RFQ731-001797,CFG731_804fd97f3e73ed8a,x731,18,CFG731_3b2a32abbf148ca1,x731,15
RFQ731-001802,CFG731_b3d0283738532d82,G731ST-LT,11,CFG731_e03b41992c837b34,G731ST-LT,15
RFQ731-001807,CFG731_b7a7770d19b6f648,G731ST-HT,12,CFG731_cc9ac35e4d9a1854,G731ST-HT,13
RFQ731-001811,CFG731_168475c8045761e7,G731ST-HT,11,CFG731_4aa7d46b9cfa7d7b,G731ST-HT,15
RFQ731-001818,CFG731_cd907466ae420427,x731,19,CFG731_620cb319c2b7c332,x731,15
RFQ731-001821,CFG731_3e782f59368b40db,x731,14,CFG731_140a9819128d92da,x731,16
RFQ731-001822,CFG731_8af4adfbdf504482,x731,77,CFG731_71dcda3a004aaa52,x731,14
RFQ731-001829,CFG731_a84a367ef61c4e59,x731,26,CFG731_516629085c122a4e,x731,16
RFQ731-001830,CFG731_8a7a801f91254eeb,x731,15,CFG731_c3481d11b658e1e9,x731,14
RFQ731-001834,CFG731_4e59e6fc4174afa3,x731,29,CFG731_7962ce0b7d875608,x731,12
RFQ731-001835,CFG731_d3256527bf7fe65c,x731,36,CFG731_5dd42015f6f61801,x731,16
RFQ731-001836,CFG731_7986bd8f29a06f04,x731,19,CFG731_516629085c122a4e,x731,16
RFQ731-001839,CFG731_8f470181ad32eeae,x731,43,CFG731_31aa13473958d7d3,x731,19
RFQ731-001845,CFG731_95e2d680672ff303,x731,67,CFG731_073f991a6c9a4683,x731,14
RFQ731-001854,CFG731_9b7849ea5c974903,x731,16,CFG731_e8e7b7513a5c9544,x731,15
RFQ731-001859,CFG731_4804eb7da7298ac9,x731,31,CFG731_3c119308d8305ad4,x731,12
RFQ731-001860,CFG731_68193b179adae994,G731ST-HT,12,CFG731_bbffb73f3dff6787,G731ST-HT,15
RFQ731-001862,CFG731_0988a349490181d9,x731,12,CFG731_89772de94df83ba5,x731,15
RFQ731-001865,CFG731_31d0a0df66872bf7,x731,13,CFG731_4458dc2930ba5c51,x731,16
RFQ731-001870,CFG731_4af82641f975d9aa,G731CA,15,CFG731_0738cd529389f266,G731CA,11
RFQ731-001872,CFG731_8b6ed3cfa9ed1e59,G731ST-LT,24,CFG731_996314000fcfec4b,G731ST-LT,16
RFQ731-001874,CFG731_eea9998b9f9a0bdb,x731,15,CFG731_135ddf5639321fb6,x731,15
RFQ731-001878,CFG731_257fecba9143d12f,x731,11,CFG731_782675d8823078bc,x731,15
RFQ731-001879,CFG731_c0dc535399f71de8,x731,16,CFG731_140a9819128d92da,x731,13
RFQ731-001884,CFG731_8a7a801f91254eeb,x731,172,CFG731_241d60e6ef5278be,x731,11
RFQ731-001891,CFG731_ede0b25f5f83644d,x731,82,CFG731_8c50542218db5cb0,x731,14
RFQ731-001895,CFG731_19ec976991ce75a9,G731CA,20,CFG731_0738cd529389f266,G731CA,12
RFQ731-001913,CFG731_eb70dc35972dc4b7,G731ST-HT,21,CFG731_7b2f69a7ca55041b,G731ST-HT,13
RFQ731-001920,CFG731_c4d0e2da53e6a22c,x731,24,CFG731_6bdadac99b2f7b39,x731,15
RFQ731-001924,CFG731_168475c8045761e7,G731ST-HT,11,CFG731_4aa7d46b9cfa7d7b,G731ST-HT,14
RFQ731-001926,CFG731_f8b0b03f1ea66d75,x731,38,CFG731_844c64c49c2e5514,x731,14
RFQ731-001941,CFG731_1147f9711c4bff84,x731,144,CFG731_9db378257f9cf6a7,x731,14
RFQ731-001942,CFG731_aba447e5ca3ac7ba,x731,18,CFG731_6f8c15548921e4c2,x731,12
