rfq_id,target_package,predicted_configuration_id,true_configuration_id,true_rank,error_type,num_changed_characteristics,changed_characteristics,mandatory_requirements,mandatory_matches,mandatory_mismatches,preferred_requirements,preferred_matches,preferred_mismatches,true_mandatory_matches,true_mandatory_mismatches,predicted_score,predicted_package,recommendation_package_aware
RFQ731-000627,x731,CFG731_1f978c234895178c,CFG731_04e7216b1ba7f935,6.0,TRUE_IN_TOP10,2,stromSchaltbar|temperaturEingaenge,11,11,0,3,3,0,11,0,19.53791160601119,x731,false
RFQ731-000628,x731,CFG731_9fa436b39059149d,CFG731_27279ceeaa7fc1fe,2.0,TRUE_IN_TOP3,1,binaerOpenColl_MP,10,10,0,3,3,0,10,0,21.228485649604576,x731,false
RFQ731-000629,F731TE,CFG731_b27467571d893d92,CFG731_b27467571d893d92,1.0,CORRECT_TOP1,0,,10,10,0,1,1,0,10,0,30.20745299258429,F731TE,false
RFQ731-000630,x731,CFG731_59f86789e43d86f1,CFG731_59f86789e43d86f1,1.0,CORRECT_TOP1,0,,12,12,0,4,4,0,12,0,23.11716703108541,x731,false
RFQ731-000631,G731ST-HT,CFG731_ef8d68b6d278bfec,CFG731_cd71ec2726e971ef,4.0,TRUE_IN_TOP5,1,temperaturEingaenge,9,9,0,5,5,0,9,0,25.28506140626629,G731ST-HT,false
RFQ731-000632,x731,CFG731_83f956404d04e6cd,CFG731_b5a071e920590337,3.0,TRUE_IN_TOP3,2,stromSchaltbar|temperaturEingaenge,11,11,0,4,4,0,11,0,22.45757355360241,x731,false
RFQ731-000633,G731ST-HT,CFG731_6cc2f5d089c01baf,CFG731_6cc2f5d089c01baf,1.0,CORRECT_TOP1,0,,10,10,0,4,4,0,10,0,25.48986884927969,G731ST-HT,false
RFQ731-000634,G731ST-LT,CFG731_ad6f77e09c551945,CFG731_ad6f77e09c551945,1.0,CORRECT_TOP1,0,,8,8,0,6,6,0,8,0,24.33209126656709,G731ST-LT,false
RFQ731-000635,G731ST-LT,CFG731_dbd5a2176d0b595a,CFG731_dbd5a2176d0b595a,1.0,CORRECT_TOP1,0,,10,10,0,5,5,0,10,0,25.70613637048195,G731ST-LT,false
RFQ731-000636,G731ST-LT,CFG731_455da2f832a6b66d,CFG731_455da2f832a6b66d,1.0,CORRECT_TOP1,0,,12,12,0,3,3,0,12,0,25.36180364671432,G731ST-LT,false
RFQ731-000637,x731,CFG731_353333bad447dbef,CFG731_e268c539b23ee9e5,2.0,TRUE_IN_TOP3,1,binaerOpenColl_MP,10,10,0,4,4,0,10,0,20.080463253418355,x731,false
RFQ731-000638,x731,CFG731_169a8482d2028dff,CFG731_54946322ece48230,3.0,TRUE_IN_TOP3,2,stromSchaltbar|stromEingaenge,10,10,0,4,4,0,10,0,21.004764327233275,x731,false
RFQ731-000639,x731,CFG731_2be17a56b0589fd1,CFG731_c108b657efc147c3,2.0,TRUE_IN_TOP3,1,customUserFluid,13,13,0,2,2,0,13,0,22.703764049420887,x731,false
RFQ731-000640,G731ST-LT,CFG731_e03b41992c837b34,CFG731_4c72f78c1186e8f7,4.0,TRUE_IN_TOP5,1,stromEingaenge,12,12,0,2,2,0,12,0,23.90772320591388,G731ST-LT,false
RFQ731-000641,x731,CFG731_353333bad447dbef,CFG731_bd51fba2aacb1a3c,2.0,TRUE_IN_TOP3,2,stromSchaltbar|binaerOpenColl_MP,13,13,0,0,0,0,13,0,18.62638281261792,x731,false
RFQ731-000642,x731,CFG731_073f991a6c9a4683,CFG731_117f19eb2913314e,2.0,TRUE_IN_TOP3,1,stromEingaenge,9,9,0,7,7,0,9,0,23.074971966882437,x731,false
RFQ731-000643,x731,CFG731_1f978c234895178c,CFG731_007c0829be0a9482,2.0,TRUE_IN_TOP3,1,dev_advMeterVerification,10,10,0,5,5,0,10,0,21.259534756377747,x731,false
RFQ731-000644,G731ST-LT,CFG731_e03b41992c837b34,CFG731_e03b41992c837b34,1.0,CORRECT_TOP1,0,,11,11,0,4,4,0,11,0,25.32606577182213,G731ST-LT,false
RFQ731-000645,x731,CFG731_04a53b6cc81d57d6,CFG731_04a53b6cc81d57d6,1.0,CORRECT_TOP1,0,,11,11,0,4,4,0,11,0,21.644641083035587,x731,false
RFQ731-000646,x731,CFG731_5be5a82ac0b29989,CFG731_5be5a82ac0b29989,1.0,CORRECT_TOP1,0,,9,9,0,4,4,0,9,0,22.247869374211067,x731,false
RFQ731-000647,x731,CFG731_5dd42015f6f61801,CFG731_a6849487313f00ac,2.0,TRUE_IN_TOP3,1,dynamicGasMaster,8,8,0,8,8,0,8,0,22.254665370054123,x731,false
RFQ731-000648,x731,CFG731_6513d2f5c85df9e4,CFG731_6513d2f5c85df9e4,1.0,CORRECT_TOP1,0,,10,10,0,4,4,0,10,0,21.64666418830323,x731,false
RFQ731-000649,x731,CFG731_140a9819128d92da,CFG731_f8cc7d4d2ef53582,8.0,TRUE_IN_TOP10,2,temperaturEingaenge|customUserFluid,8,8,0,4,4,0,8,0,17.412180945769027,x731,false
RFQ731-000650,F731WD_DualChannel,CFG731_35ed22cad11f9a11,CFG731_35ed22cad11f9a11,1.0,CORRECT_TOP1,0,,11,11,0,2,2,0,11,0,36.45113688548819,F731WD_DualChannel,false
RFQ731-000651,x731,CFG731_337790e6bbcf15f4,CFG731_48cf6bd4ca59e583,4.0,TRUE_IN_TOP5,1,binaerOpenColl_MP,10,10,0,4,4,0,10,0,19.441923359176243,x731,false
RFQ731-000652,G731ST-HT,CFG731_4aa7d46b9cfa7d7b,CFG731_ff04d32ca467d2a5,3.0,TRUE_IN_TOP3,2,stromEingaenge|binaerDigitalOpenColl_MN,11,11,0,3,3,0,11,0,24.974426943297008,G731ST-HT,false
RFQ731-000653,F731WD_SingleChannel,CFG731_e98d2be876599c40,CFG731_e98d2be876599c40,1.0,CORRECT_TOP1,0,,10,10,0,3,3,0,10,0,34.75499937453291,F731WD_SingleChannel,false
RFQ731-000654,x731,CFG731_6b809c836e3ca8a1,CFG731_5de6ca53a86b09c9,2.0,TRUE_IN_TOP3,1,binaerOpenColl_MP,12,12,0,2,2,0,12,0,20.91266810149736,x731,false
RFQ731-000655,x731,CFG731_f97e51d1da57d99f,CFG731_f97e51d1da57d99f,1.0,CORRECT_TOP1,0,,8,8,0,8,8,0,8,0,24.20306032583622,x731,false
RFQ731-000656,G731ST-HT,CFG731_b30ceef5c5f902ca,CFG731_b30ceef5c5f902ca,1.0,CORRECT_TOP1,0,,8,8,0,5,5,0,8,0,23.86671884035804,G731ST-HT,false
RFQ731-000657,x731,CFG731_8d78781f8753b72a,CFG731_8d78781f8753b72a,1.0,CORRECT_TOP1,0,,10,10,0,4,4,0,10,0,23.16094095540965,x731,false
RFQ731-000658,x731,CFG731_353333bad447dbef,CFG731_5a14e01af9745dda,2.0,TRUE_IN_TOP3,1,customUserFluid,12,12,0,2,2,0,12,0,21.28542148351264,x731,false
RFQ731-000659,x731,CFG731_c87cb45e3d711af0,CFG731_ae1c24f394311970,7.0,TRUE_IN_TOP10,1,binaerDigitalOpenColl_MN,10,10,0,3,3,0,10,0,19.292425604172166,x731,false
RFQ731-000660,x731,CFG731_ae1f3e9a90950fc3,CFG731_ae1f3e9a90950fc3,1.0,CORRECT_TOP1,0,,13,13,0,1,1,0,13,0,20.430479175796904,x731,false
RFQ731-000661,G731ST-HT,CFG731_e2d64e127f97296d,CFG731_e2d64e127f97296d,1.0,CORRECT_TOP1,0,,11,11,0,4,4,0,11,0,26.49998453845225,G731ST-HT,false
RFQ731-000662,x731,CFG731_6b2b46dd281009ce,CFG731_6b2b46dd281009ce,1.0,CORRECT_TOP1,0,,11,11,0,2,2,0,11,0,21.779053283364444,x731,false
RFQ731-000663,F731TE,CFG731_8b8ba7e2341f1295,CFG731_b7c1a02b25610507,2.0,TRUE_IN_TOP3,2,stromSchaltbar|binaerOpenColl_MP,8,8,0,3,3,0,8,0,28.619098489892448,F731TE,false
RFQ731-000664,G731ST-HT,CFG731_c32627af59ba1526,CFG731_db27f1c998b6e675,5.0,TRUE_IN_TOP5,1,binaerOpenColl_MP,9,9,0,5,5,0,9,0,24.552925497532325,G731ST-HT,false
RFQ731-000665,x731,CFG731_241261e6f2e0673c,CFG731_241261e6f2e0673c,1.0,CORRECT_TOP1,0,,12,12,0,2,2,0,12,0,19.003511932388594,x731,false
RFQ731-000666,x731,CFG731_241d60e6ef5278be,CFG731_7b80fca32fdc0db0,2.0,TRUE_IN_TOP3,1,stromSchaltbar,11,11,0,4,4,0,11,0,21.4967654083596,x731,false
RFQ731-000667,x731,CFG731_169a8482d2028dff,CFG731_74d881f8ffd9c565,2.0,TRUE_IN_TOP3,1,stromEingaenge,13,13,0,2,2,0,13,0,22.458844768033718,x731,false
RFQ731-000668,G731CA,CFG731_5bfe9492c76587ec,CFG731_5bfe9492c76587ec,1.0,CORRECT_TOP1,0,,10,10,0,4,4,0,10,0,35.89643793735161,G731CA,false
RFQ731-000669,x731,CFG731_6f8c15548921e4c2,CFG731_10829a99d0812ab9,2.0,TRUE_IN_TOP3,1,stromSchaltbar,13,13,0,0,0,0,13,0,21.31971156491715,x731,false
RFQ731-000670,F731PW,CFG731_5995fa9fd5d1242f,CFG731_5995fa9fd5d1242f,1.0,CORRECT_TOP1,0,,10,10,0,2,2,0,10,0,34.211841562547065,F731PW,false
RFQ731-000671,x731,CFG731_c6a3ff6155563d17,CFG731_07364aa0260e0bc7,2.0,TRUE_IN_TOP3,1,temperaturEingaenge,9,9,0,5,5,0,9,0,20.962577234618728,x731,false
RFQ731-000672,G731CA,CFG731_0bb185f546403346,CFG731_0bb185f546403346,1.0,CORRECT_TOP1,0,,10,10,0,2,2,0,10,0,27.034163753505783,G731CA,false
RFQ731-000673,x731,CFG731_040069031f4f021c,CFG731_040069031f4f021c,1.0,CORRECT_TOP1,0,,12,12,0,2,2,0,12,0,21.008656348332305,x731,false
RFQ731-000674,x731,CFG731_da02526d254e2e35,CFG731_b661f405414c476e,2.0,TRUE_IN_TOP3,1,temperaturEingaenge,11,11,0,4,4,0,11,0,21.27658099852679,x731,false
RFQ731-000675,x731,CFG731_89772de94df83ba5,CFG731_6ad3ec8ed100118e,2.0,TRUE_IN_TOP3,2,stromSchaltbar|temperaturEingaenge,9,9,0,5,5,0,9,0,20.25368599809777,x731,false
RFQ731-000676,x731,CFG731_5dd42015f6f61801,CFG731_f2f16ec6756d8443,2.0,TRUE_IN_TOP3,1,dev_advMeterVerification,13,13,0,3,3,0,13,0,22.846946890407207,x731,false
RFQ731-000677,F731WD_DualChannel,CFG731_a4610f5f38e7d946,CFG731_a4610f5f38e7d946,1.0,CORRECT_TOP1,0,,8,8,0,5,5,0,8,0,36.30115881302178,F731WD_DualChannel,false
RFQ731-000678,G731CA,CFG731_98ec9650b5463fd0,CFG731_98ec9650b5463fd0,1.0,CORRECT_TOP1,0,,9,9,0,3,3,0,9,0,28.170110935086907,G731CA,false
RFQ731-000679,x731,CFG731_e049618b920d59b6,CFG731_8b6eb20d56ad0a7c,3.0,TRUE_IN_TOP3,2,temperaturEingaenge|dev_advMeterVerification,10,10,0,4,4,0,10,0,21.289863716237317,x731,false
RFQ731-000680,x731,CFG731_440f9c9b032b7d0a,CFG731_aa8c30a4f1baca2e,4.0,TRUE_IN_TOP5,2,stromSchaltbar|stromEingaenge,10,10,0,3,3,0,10,0,18.113885841492014,x731,false
RFQ731-000681,x731,CFG731_ac3a4ff61341aa72,CFG731_ac3a4ff61341aa72,1.0,CORRECT_TOP1,0,,11,11,0,3,3,0,11,0,23.135034710508183,x731,false
RFQ731-000682,G731ST-HT,CFG731_1a1206cc52132df1,CFG731_1a1206cc52132df1,1.0,CORRECT_TOP1,0,,14,14,0,1,1,0,14,0,26.43060978188787,G731ST-HT,false
RFQ731-000683,x731,CFG731_565e3731063ff5c5,CFG731_565e3731063ff5c5,1.0,CORRECT_TOP1,0,,8,8,0,6,6,0,8,0,24.56538353772665,x731,false
RFQ731-000684,x731,CFG731_516629085c122a4e,CFG731_27481a3518f630c6,2.0,TRUE_IN_TOP3,1,dev_advMeterVerification,12,12,0,3,3,0,12,0,21.71319327621412,x731,false
RFQ731-000685,F731WD_DualChannel,CFG731_819cb4e76943eca6,CFG731_819cb4e76943eca6,1.0,CORRECT_TOP1,0,,9,9,0,4,4,0,9,0,32.30861569119556,F731WD_DualChannel,false
RFQ731-000686,x731,CFG731_ac0f372c930c2e22,CFG731_ac0f372c930c2e22,1.0,CORRECT_TOP1,0,,8,8,0,6,6,0,8,0,24.19507605051498,x731,false
RFQ731-000687,G731ST-LT,CFG731_87d8ba5b87cf0a3f,CFG731_77fac91021549398,3.0,TRUE_IN_TOP3,2,temperaturEingaenge|binaerDigitalOpenColl_MN,10,10,0,3,3,0,10,0,22.1571212140856,G731ST-LT,false
RFQ731-000688,x731,CFG731_2683cf7e09782f5e,CFG731_2683cf7e09782f5e,1.0,CORRECT_TOP1,0,,10,10,0,6,6,0,10,0,22.62841662476227,x731,false
RFQ731-000689,x731,CFG731_8189439864af87ea,CFG731_76d13dd0246c6ccc,2.0,TRUE_IN_TOP3,1,binaerDigitalOpenColl_MN,9,9,0,4,4,0,9,0,21.222180530276898,x731,false
RFQ731-000690,x731,CFG731_6e096e946540ab4e,CFG731_f693af423cd0a85a,2.0,TRUE_IN_TOP3,1,dynamicGasMaster,13,13,0,3,3,0,13,0,22.23557387439932,x731,false
RFQ731-000691,x731,CFG731_3727d181b2806370,CFG731_3727d181b2806370,1.0,CORRECT_TOP1,0,,7,7,0,7,7,0,7,0,21.7869582661629,x731,false
RFQ731-000692,G731ST-HT,CFG731_cc9ac35e4d9a1854,CFG731_348f97ec6945fbf8,2.0,TRUE_IN_TOP3,1,temperaturEingaenge,7,7,0,8,8,0,7,0,26.95040647939092,G731ST-HT,false
RFQ731-000693,G731ST-HT,CFG731_cc9ac35e4d9a1854,CFG731_143205a81a2e7efc,2.0,TRUE_IN_TOP3,1,stromSchaltbar,9,9,0,6,6,0,9,0,26.85154324863611,G731ST-HT,false
RFQ731-000694,x731,CFG731_97796c9ac2811c94,CFG731_ca05869cc5edc073,2.0,TRUE_IN_TOP3,1,dev_advMeterVerification,12,12,0,3,3,0,12,0,22.15344349900661,x731,false
RFQ731-000695,G731ST-LT,CFG731_3c070a82e4102784,CFG731_3c070a82e4102784,1.0,CORRECT_TOP1,0,,13,13,0,2,2,0,13,0,25.935385562735835,G731ST-LT,false
RFQ731-000696,G731ST-HT,CFG731_b3ed2928d6d65710,CFG731_b3ed2928d6d65710,1.0,CORRECT_TOP1,0,,12,12,0,2,2,0,12,0,25.4350394787327,G731ST-HT,false
RFQ731-000697,x731,CFG731_b4987f1c95e91d0d,CFG731_b4987f1c95e91d0d,1.0,CORRECT_TOP1,0,,10,10,0,6,6,0,10,0,22.341526058246338,x731,false
RFQ731-000698,F731WD_SingleChannel,CFG731_11c93eca01984a14,CFG731_0be7d6198235486b,2.0,TRUE_IN_TOP3,2,stromSchaltbar|binaerOpenColl_MP,9,9,0,2,2,0,9,0,25.359137294119503,F731WD_SingleChannel,false
RFQ731-000699,F731WD_SingleChannel,CFG731_a7d2a5a9ae465701,CFG731_ee8e327bbb737abf,2.0,TRUE_IN_TOP3,2,stromSchaltbar|binaerOpenColl_MP,11,11,0,0,0,0,11,0,25.90038174659436,F731WD_SingleChannel,false
RFQ731-000700,x731,CFG731_5dd42015f6f61801,CFG731_a6849487313f00ac,2.0,TRUE_IN_TOP3,1,dynamicGasMaster,14,14,0,2,2,0,14,0,22.254665370054123,x731,false
RFQ731-000701,x731,CFG731_7c358bf1aa4ea94e,CFG731_7a6e9e503add9a86,2.0,TRUE_IN_TOP3,1,dev_advMeterVerification,10,10,0,4,4,0,10,0,20.895738916412803,x731,false
RFQ731-000702,x731,CFG731_e8e7b7513a5c9544,CFG731_a7422430db553ad5,2.0,TRUE_IN_TOP3,3,stromSchaltbar|stromEingaenge|temperaturEingaenge,9,9,0,4,4,0,9,0,18.953786351300987,x731,false
RFQ731-000703,x731,CFG731_f430d8ebe4134533,CFG731_c42374cc9dea3494,3.0,TRUE_IN_TOP3,2,dev_advMeterVerification|customUserFluid,7,7,0,7,7,0,7,0,20.779614991975777,x731,false
RFQ731-000704,x731,CFG731_ae226e31119be9bd,CFG731_ae226e31119be9bd,1.0,CORRECT_TOP1,0,,10,10,0,4,4,0,10,0,23.233133724164887,x731,false
RFQ731-000705,G731ST-LT,CFG731_e03b41992c837b34,CFG731_e03b41992c837b34,1.0,CORRECT_TOP1,0,,12,12,0,3,3,0,12,0,25.32606577182213,G731ST-LT,false
RFQ731-000706,x731,CFG731_0fbee36816b7af98,CFG731_30ccf87da13edf1e,2.0,TRUE_IN_TOP3,1,dev_advMeterVerification,11,11,0,5,5,0,11,0,23.6776599213187,x731,false
RFQ731-000707,x731,CFG731_75466cb810218a66,CFG731_faa6b560b4d99a0a,2.0,TRUE_IN_TOP3,1,dev_advMeterVerification,11,11,0,2,2,0,11,0,20.37643951678948,x731,false
RFQ731-000708,x731,CFG731_c6a3ff6155563d17,CFG731_07364aa0260e0bc7,2.0,TRUE_IN_TOP3,1,temperaturEingaenge,12,12,0,2,2,0,12,0,20.962577234618728,x731,false
RFQ731-000709,x731,CFG731_219ac3d01befd6d1,CFG731_9d1ffcce07240574,4.0,TRUE_IN_TOP5,2,stromSchaltbar|temperaturEingaenge,11,11,0,3,3,0,11,0,20.28184227617364,x731,false
RFQ731-000710,G731ST-LT,CFG731_77dd17c48f15826c,CFG731_d982a98f914f0a87,2.0,TRUE_IN_TOP3,1,binaerDigitalOpenColl_MN,11,11,0,3,3,0,11,0,23.810192171273624,G731ST-LT,false
RFQ731-000711,x731,CFG731_31aa13473958d7d3,CFG731_4d39aa53959ccce3,3.0,TRUE_IN_TOP3,2,stromSchaltbar|customUserFluid,9,9,0,6,6,0,9,0,21.67454598629257,x731,false
RFQ731-000712,G731ST-LT,CFG731_455da2f832a6b66d,CFG731_455da2f832a6b66d,1.0,CORRECT_TOP1,0,,12,12,0,3,3,0,12,0,25.36180364671432,G731ST-LT,false
RFQ731-000713,x731,CFG731_4eb28f7e77f7ba51,CFG731_4eb28f7e77f7ba51,1.0,CORRECT_TOP1,0,,10,10,0,5,5,0,10,0,22.8654103410282,x731,false
RFQ731-000714,x731,CFG731_e8f6cbe0006a0957,CFG731_20fe81ae7d0a406e,2.0,TRUE_IN_TOP3,1,customUserFluid,13,13,0,1,1,0,13,0,22.000061694491933,x731,false
RFQ731-000715,G731ST-LT,CFG731_0fdf5c36c9c41e69,CFG731_671960d0fb04b698,2.0,TRUE_IN_TOP3,2,stromSchaltbar|temperaturEingaenge,10,10,0,4,4,0,10,0,23.830554483916828,G731ST-LT,false
RFQ731-000716,x731,CFG731_37c55138c4eebb90,CFG731_a59bfb67e03ca4c8,3.0,TRUE_IN_TOP3,1,dynamicGasMaster,8,8,0,7,7,0,8,0,21.04991442517676,x731,false
RFQ731-000717,G731ST-LT,CFG731_49cd4cbef1081333,CFG731_e67173c88f9460f6,5.0,TRUE_IN_TOP5,2,temperaturEingaenge|binaerDigitalOpenColl_MN,9,9,0,4,4,0,9,0,21.697779495638304,G731ST-LT,false
RFQ731-000718,F731TE,CFG731_874928f24c55285e,CFG731_874928f24c55285e,1.0,CORRECT_TOP1,0,,10,10,0,3,3,0,10,0,39.169853628786285,F731TE,false
RFQ731-000719,x731,CFG731_91e51485b56960b2,CFG731_deb3d65220135a9e,3.0,TRUE_IN_TOP3,2,stromEingaenge|temperaturEingaenge,13,13,0,2,2,0,13,0,21.203256679135816,x731,false
RFQ731-000720,x731,CFG731_70a71b60723e910d,CFG731_e5e722b510c96bb7,2.0,TRUE_IN_TOP3,1,customUserFluid,10,10,0,4,4,0,10,0,20.47601287204899,x731,false
RFQ731-000721,G731ST-HT,CFG731_eb70dc35972dc4b7,CFG731_4d6c56202edf3f41,3.0,TRUE_IN_TOP3,1,stromSchaltbar,10,10,0,4,4,0,10,0,25.433200682727858,G731ST-HT,false
RFQ731-000722,F731WD_DualChannel,CFG731_c37386a371e13fa8,CFG731_d135404efcd6265d,4.0,TRUE_IN_TOP5,2,stromSchaltbar|binaerOpenColl_MP,8,8,0,2,2,0,8,0,21.885677424882346,F731WD_DualChannel,false
RFQ731-000723,x731,CFG731_337790e6bbcf15f4,CFG731_48cf6bd4ca59e583,4.0,TRUE_IN_TOP5,1,binaerOpenColl_MP,10,10,0,4,4,0,10,0,19.441923359176243,x731,false
RFQ731-000724,F731TE,CFG731_d8c69b7395beabbb,CFG731_d8c69b7395beabbb,1.0,CORRECT_TOP1,0,,11,11,0,2,2,0,11,0,38.80183643608151,F731TE,false
RFQ731-000725,x731,CFG731_59f86789e43d86f1,CFG731_3c85eeb43bc9e42a,2.0,TRUE_IN_TOP3,1,temperaturEingaenge,11,11,0,4,4,0,11,0,21.761949821039774,x731,false
RFQ731-000726,x731,CFG731_9676c8784fca6c61,CFG731_9676c8784fca6c61,1.0,CORRECT_TOP1,0,,9,9,0,5,5,0,9,0,20.36782895977759,x731,false
RFQ731-000727,x731,CFG731_620cb319c2b7c332,CFG731_ba522ec0a7a74924,8.0,TRUE_IN_TOP10,1,temperaturEingaenge,10,10,0,4,4,0,10,0,19.31203602597903,x731,false
RFQ731-000728,F731WD_DualChannel,CFG731_a4610f5f38e7d946,CFG731_a4610f5f38e7d946,1.0,CORRECT_TOP1,0,,10,10,0,3,3,0,10,0,36.30115881302178,F731WD_DualChannel,false
RFQ731-000729,x731,CFG731_91e51485b56960b2,CFG731_c8d4383220ad607a,2.0,TRUE_IN_TOP3,2,stromEingaenge|dev_advMeterVerification,10,10,0,5,5,0,10,0,21.47079938870193,x731,false
RFQ731-000730,x731,CFG731_3b2a32abbf148ca1,CFG731_d4be02ad7e56a796,5.0,TRUE_IN_TOP5,3,stromSchaltbar|temperaturEingaenge|dynamicGasMaster,12,12,0,2,2,0,12,0,19.735639869534133,x731,false
RFQ731-000731,G731ST-LT,CFG731_3c070a82e4102784,CFG731_3c070a82e4102784,1.0,CORRECT_TOP1,0,,12,12,0,3,3,0,12,0,25.935385562735835,G731ST-LT,false
RFQ731-000732,x731,CFG731_91e51485b56960b2,CFG731_16f81be390fdae7e,3.0,TRUE_IN_TOP3,1,binaerDigitalOpenColl_MN,15,15,0,1,1,0,15,0,21.994019539277584,x731,false
RFQ731-000733,x731,CFG731_91e51485b56960b2,CFG731_ab67f4ca670c9841,2.0,TRUE_IN_TOP3,2,stromEingaenge|customUserFluid,8,8,0,7,7,0,8,0,21.49036305313753,x731,false
RFQ731-000734,x731,CFG731_516629085c122a4e,CFG731_5718ef9495972b30,2.0,TRUE_IN_TOP3,1,stromSchaltbar,11,11,0,4,4,0,11,0,21.346787335893197,x731,false
RFQ731-000735,G731ST-LT,CFG731_d5af433b36265df1,CFG731_9c6b16fef6d02aaf,3.0,TRUE_IN_TOP3,1,binaerDigitalOpenColl_MN,13,13,0,1,1,0,13,0,23.660214098807216,G731ST-LT,false
RFQ731-000736,x731,CFG731_8defc1a0775e52a5,CFG731_8defc1a0775e52a5,1.0,CORRECT_TOP1,0,,11,11,0,3,3,0,11,0,20.55947416177796,x731,false
RFQ731-000737,x731,CFG731_7822370b42865359,CFG731_8956c16bd3b9a345,2.0,TRUE_IN_TOP3,1,stromEingaenge,9,9,0,5,5,0,9,0,20.759157800896435,x731,false
RFQ731-000738,x731,CFG731_491a198d9cd06e17,CFG731_ceb13e5602925e38,9.0,TRUE_IN_TOP10,1,customUserFluid,7,7,0,6,6,0,7,0,19.348263991935305,x731,false
RFQ731-000739,x731,CFG731_c0de9fcc26bbc71b,CFG731_c0de9fcc26bbc71b,1.0,CORRECT_TOP1,0,,12,12,0,2,2,0,12,0,20.34820952945377,x731,false
RFQ731-000740,x731,CFG731_33fed5318b1a4f2f,CFG731_33fed5318b1a4f2f,1.0,CORRECT_TOP1,0,,8,8,0,7,7,0,8,0,22.855069102206816,x731,false
RFQ731-000741,x731,CFG731_5e61ce3b60d15e11,CFG731_04a704e692f8fd05,3.0,TRUE_IN_TOP3,2,stromSchaltbar|temperaturEingaenge,12,12,0,3,3,0,12,0,22.096330848811817,x731,false
RFQ731-000742,F731WD_DualChannel,CFG731_a4610f5f38e7d946,CFG731_e8331b2a91577f04,2.0,TRUE_IN_TOP3,1,stromEingaenge,10,10,0,2,2,0,10,0,34.88281624711353,F731WD_DualChannel,false
RFQ731-000743,F731TE,CFG731_3d8c1bbc0ef4249a,CFG731_3d8c1bbc0ef4249a,1.0,CORRECT_TOP1,0,,8,8,0,5,5,0,8,0,37.16435247185012,F731TE,false
RFQ731-000744,x731,CFG731_9fcbeaf9d5010d3a,CFG731_9fcbeaf9d5010d3a,1.0,CORRECT_TOP1,0,,11,11,0,4,4,0,11,0,21.67925455042225,x731,false
RFQ731-000745,G731ST-HT,CFG731_a4416ae9d698efa6,CFG731_a4416ae9d698efa6,1.0,CORRECT_TOP1,0,,11,11,0,3,3,0,11,0,25.72347283305394,G731ST-HT,false
RFQ731-000746,G731ST-LT,CFG731_1d89d7fdc7355744,CFG731_2eae9204301f61ab,3.0,TRUE_IN_TOP3,1,stromSchaltbar,10,10,0,4,4,0,10,0,24.559238061030555,G731ST-LT,false
RFQ731-000747,G731ST-HT,CFG731_fcc72e9951376cf3,CFG731_dabfe16503f243e3,2.0,TRUE_IN_TOP3,1,stromSchaltbar,13,13,0,2,2,0,13,0,27.2917934714286,G731ST-HT,false
RFQ731-000748,x731,CFG731_b1693ef6b18686ac,CFG731_a4b44df449e9d78d,2.0,TRUE_IN_TOP3,1,dynamicGasMaster,12,12,0,3,3,0,12,0,20.645402077276454,x731,false
RFQ731-000749,x731,CFG731_241d60e6ef5278be,CFG731_2a6e9b57f90048ca,3.0,TRUE_IN_TOP3,2,stromSchaltbar|dev_advMeterVerification,11,11,0,3,3,0,11,0,20.409090907880085,x731,false
RFQ731-000750,G731ST-LT,CFG731_1d59f25068204b01,CFG731_1d59f25068204b01,1.0,CORRECT_TOP1,0,,14,14,0,1,1,0,14,0,25.228534737181874,G731ST-LT,false
RFQ731-000751,x731,CFG731_fde1ab2a4808b544,CFG731_eea573acdafa9ee3,3.0,TRUE_IN_TOP3,2,stromSchaltbar|customUserFluid,10,10,0,4,4,0,10,0,20.43433777092661,x731,false
RFQ731-000752,x731,CFG731_83f956404d04e6cd,CFG731_f9254a8bb3738033,3.0,TRUE_IN_TOP3,3,dev_advMeterVerification|dynamicGasMaster|customUserFluid,9,9,0,5,5,0,9,0,21.431129847092453,x731,false
RFQ731-000753,x731,CFG731_6f8c15548921e4c2,CFG731_75b93da9dd9b0316,3.0,TRUE_IN_TOP3,1,binaerOpenColl_MP,10,10,0,3,3,0,10,0,20.5007229395794,x731,false
RFQ731-000754,G731ST-HT,CFG731_a56f1437a0b4ca31,CFG731_86a2340212c01d2a,2.0,TRUE_IN_TOP3,2,stromSchaltbar|temperaturEingaenge,11,11,0,3,3,0,11,0,25.604109046853917,G731ST-HT,false
RFQ731-000755,x731,CFG731_c6a3ff6155563d17,CFG731_c6a3ff6155563d17,1.0,CORRECT_TOP1,0,,13,13,0,2,2,0,13,0,22.31779444466436,x731,false
RFQ731-000756,G731ST-HT,CFG731_4aa7d46b9cfa7d7b,CFG731_ad49f2ad57627f46,2.0,TRUE_IN_TOP3,3,stromSchaltbar|stromEingaenge|temperaturEingaenge,11,11,0,2,2,0,11,0,24.14792620826305,G731ST-HT,false
RFQ731-000757,x731,CFG731_3611bb1fba248e38,CFG731_3611bb1fba248e38,1.0,CORRECT_TOP1,0,,14,14,0,1,1,0,14,0,21.327695840238388,x731,false
RFQ731-000758,x731,CFG731_6526112621a9ee97,CFG731_6526112621a9ee97,1.0,CORRECT_TOP1,0,,12,12,0,3,3,0,12,0,21.08350280362588,x731,false
