package,characteristic,value,count,package_characteristic_total,probability
"in {NOVALUE, 'G731VG'}",stromSchaltbar,"in {'CS2', 'CS3'}",1,4,0.25
"in {NOVALUE, 'G731VG'}",stromSchaltbar,CS1,1,4,0.25
"in {NOVALUE, 'G731VG'}",stromEingaenge,IS1,2,4,0.5
"in {NOVALUE, 'G731VG'}",stromEingaenge,IS2,2,4,0.5
"in {NOVALUE, 'G731VG'}",temperaturEingaenge,TT1,2,4,0.5
"in {NOVALUE, 'G731VG'}",temperaturEingaenge,"in {NOVALUE, 'TT1'}",2,4,0.5
"in {NOVALUE, 'G731VG'}",binaerDigitalOpenColl_MN,"in {'MN2', 'MN4'}",3,4,0.75
"in {NOVALUE, 'G731VG'}",binaerDigitalOpenColl_MN,MN2,1,4,0.25
"in {NOVALUE, 'G731VG'}",binaerOpenColl_MP,NOVALUE,4,4,1.0
"in {NOVALUE, 'G731VG'}",waveInjector,NOVALUE,4,4,1.0
"in {NOVALUE, 'G731VG'}",dev_advMeterVerification,1,4,4,1.0
"in {NOVALUE, 'G731VG'}",dynamicGasMaster,1,4,4,1.0
"in {NOVALUE, 'G731VG'}",customUserFluid,NOVALUE,4,4,1.0
"in {NOVALUE, 'G731VG'}",steamApplication,NOVALUE,4,4,1.0
"in {NOVALUE, 'x731'}",devCategory,F,228,696,0.3275862068965517
"in {NOVALUE, 'x731'}",devCategory,G,228,696,0.3275862068965517
"in {NOVALUE, 'x731'}",devCategory,H,120,696,0.1724137931034483
"in {NOVALUE, 'x731'}",devCategory,S,120,696,0.1724137931034483
"in {NOVALUE, 'x731'}",characteristic,GP,696,696,1.0
"in {NOVALUE, 'x731'}",housing,"in {'ST', 'AL'}",406,696,0.5833333333333334
"in {NOVALUE, 'x731'}",housing,ST,290,696,0.4166666666666667
"in {NOVALUE, 'x731'}",powerSupply,"in {'1', '4'}",406,696,0.5833333333333334
"in {NOVALUE, 'x731'}",powerSupply,4,290,696,0.4166666666666667
"in {NOVALUE, 'x731'}",numberOfChannels,"in {1, 2}",696,696,1.0
"in {NOVALUE, 'x731'}",explosionApproval,N,232,696,0.3333333333333333
"in {NOVALUE, 'x731'}",explosionApproval,"in {'A', 'E', 'P', 'J', 'S'}",116,696,0.16666666666666666
"in {NOVALUE, 'x731'}",explosionApproval,F,116,696,0.16666666666666666
"in {NOVALUE, 'x731'}",explosionApproval,A,116,696,0.16666666666666666
"in {NOVALUE, 'x731'}",explosionApproval,K,116,696,0.16666666666666666
"in {NOVALUE, 'x731'}",protectionArea,2,464,696,0.6666666666666666
"in {NOVALUE, 'x731'}",protectionArea,N,232,696,0.3333333333333333
"in {NOVALUE, 'x731'}",certification,MN,290,696,0.4166666666666667
"in {NOVALUE, 'x731'}",certification,"in {'NN', 'WN'}",152,696,0.21839080459770116
"in {NOVALUE, 'x731'}",certification,NN,138,696,0.19827586206896552
"in {NOVALUE, 'x731'}",certification,"in {'NN', 'WN', 'FN'}",76,696,0.10919540229885058
"in {NOVALUE, 'x731'}",certification,"in {'NN', 'FN'}",40,696,0.05747126436781609
"in {NOVALUE, 'x731'}",dataInterface,HS,192,696,0.27586206896551724
"in {NOVALUE, 'x731'}",dataInterface,"in {'NN', 'PA', 'MR', 'FF', 'BM'}",176,696,0.25287356321839083
"in {NOVALUE, 'x731'}",dataInterface,NN,108,696,0.15517241379310345
"in {NOVALUE, 'x731'}",dataInterface,"in {'NN', 'MT', 'BT'}",90,696,0.12931034482758622
"in {NOVALUE, 'x731'}",dataInterface,"in {'NN', 'PA', 'MR', 'FF', 'DB', 'BM'}",64,696,0.09195402298850575
"in {NOVALUE, 'x731'}",dataInterface,"in {'NN', 'PA', 'MR', 'FF'}",48,696,0.06896551724137931
"in {NOVALUE, 'x731'}",dataInterface,"in {'NN', 'MT'}",18,696,0.02586206896551724
"in {NOVALUE, 'x731'}",stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2'}",240,696,0.3448275862068966
"in {NOVALUE, 'x731'}",stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}",168,696,0.2413793103448276
"in {NOVALUE, 'x731'}",stromSchaltbar,"in {NOVALUE, 'CS1'}",144,696,0.20689655172413793
"in {NOVALUE, 'x731'}",stromSchaltbar,NOVALUE,96,696,0.13793103448275862
"in {NOVALUE, 'x731'}",stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2', 'CS3', 'CS4'}",48,696,0.06896551724137931
"in {NOVALUE, 'x731'}",stromEingaenge,NOVALUE,168,696,0.2413793103448276
"in {NOVALUE, 'x731'}",stromEingaenge,"in {NOVALUE, 'IS1'}",96,696,0.13793103448275862
"in {NOVALUE, 'x731'}",stromEingaenge,IS1,96,696,0.13793103448275862
"in {NOVALUE, 'x731'}",stromEingaenge,"in {NOVALUE, 'IS1', 'IS2'}",72,696,0.10344827586206896
"in {NOVALUE, 'x731'}",stromEingaenge,"in {NOVALUE, 'IS1', 'IS2', 'IS3'}",72,696,0.10344827586206896
"in {NOVALUE, 'x731'}",stromEingaenge,"in {'IS1', 'IS2'}",72,696,0.10344827586206896
"in {NOVALUE, 'x731'}",stromEingaenge,"in {'IS1', 'IS2', 'IS3'}",72,696,0.10344827586206896
"in {NOVALUE, 'x731'}",stromEingaenge,"in {NOVALUE, 'IS1', 'IS2', 'IS3', 'IS4'}",48,696,0.06896551724137931
"in {NOVALUE, 'x731'}",temperaturEingaenge,"in {NOVALUE, 'TT1', 'TT2'}",144,696,0.20689655172413793
"in {NOVALUE, 'x731'}",temperaturEingaenge,"in {NOVALUE, 'TT1'}",96,696,0.13793103448275862
"in {NOVALUE, 'x731'}",temperaturEingaenge,TT1,96,696,0.13793103448275862
"in {NOVALUE, 'x731'}",temperaturEingaenge,"in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}",72,696,0.10344827586206896
"in {NOVALUE, 'x731'}",temperaturEingaenge,"in {NOVALUE, 'TT1', 'TT2', 'TT3'}",72,696,0.10344827586206896
"in {NOVALUE, 'x731'}",temperaturEingaenge,NOVALUE,72,696,0.10344827586206896
"in {NOVALUE, 'x731'}",temperaturEingaenge,"in {'TT1', 'TT2', 'TT3'}",72,696,0.10344827586206896
"in {NOVALUE, 'x731'}",temperaturEingaenge,"in {'TT1', 'TT2'}",72,696,0.10344827586206896
"in {NOVALUE, 'x731'}",binaerDigitalOpenColl_MN,"in {NOVALUE, 'MN1', 'MN2', 'MN3', 'MN4'}",406,696,0.5833333333333334
"in {NOVALUE, 'x731'}",binaerDigitalOpenColl_MN,NOVALUE,290,696,0.4166666666666667
"in {NOVALUE, 'x731'}",binaerOpenColl_MP,NOVALUE,406,696,0.5833333333333334
"in {NOVALUE, 'x731'}",binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",290,696,0.4166666666666667
"in {NOVALUE, 'x731'}",waveInjector,"in {'FWI', 'FWY', NOVALUE}",576,696,0.8275862068965517
"in {NOVALUE, 'x731'}",waveInjector,"in {'FWI', NOVALUE}",120,696,0.1724137931034483
"in {NOVALUE, 'x731'}",dev_advMeterVerification,"in {NOVALUE, 1}",456,696,0.6551724137931034
"in {NOVALUE, 'x731'}",dev_advMeterVerification,NOVALUE,240,696,0.3448275862068966
"in {NOVALUE, 'x731'}",dynamicGasMaster,NOVALUE,468,696,0.6724137931034483
"in {NOVALUE, 'x731'}",dynamicGasMaster,"in {NOVALUE, 1}",228,696,0.3275862068965517
"in {NOVALUE, 'x731'}",customUserFluid,"in {NOVALUE, 1}",456,696,0.6551724137931034
"in {NOVALUE, 'x731'}",customUserFluid,NOVALUE,240,696,0.3448275862068966
"in {NOVALUE, 'x731'}",steamApplication,NOVALUE,696,696,1.0
