package,characteristic_a,characteristic_b,value_a,value_b,joint_count,joint_probability,conditional_b_given_a,conditional_a_given_b
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,stromEingaenge,NOVALUE,"in {NOVALUE, 'IS1', 'IS2', 'IS3'}",7,0.05263157894736842,0.3333333333333333,0.3333333333333333
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3', 'CS4'}",NOVALUE,14,0.10526315789473684,1.0,0.2857142857142857
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}",NOVALUE,21,0.15789473684210525,0.6,0.42857142857142855
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}","in {NOVALUE, 'IS1'}",14,0.10526315789473684,0.4,0.5
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1', 'CS2'}",NOVALUE,14,0.10526315789473684,0.3333333333333333,0.2857142857142857
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1', 'CS2'}","in {NOVALUE, 'IS1', 'IS2'}",14,0.10526315789473684,0.3333333333333333,0.6666666666666666
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1', 'CS2'}","in {NOVALUE, 'IS1'}",14,0.10526315789473684,0.3333333333333333,0.5
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1'}","in {NOVALUE, 'IS1', 'IS2', 'IS3'}",14,0.10526315789473684,0.6666666666666666,0.6666666666666666
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1'}","in {NOVALUE, 'IS1', 'IS2'}",7,0.05263157894736842,0.3333333333333333,0.3333333333333333
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,temperaturEingaenge,NOVALUE,NOVALUE,14,0.10526315789473684,0.6666666666666666,0.6666666666666666
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,temperaturEingaenge,NOVALUE,"in {NOVALUE, 'TT1'}",7,0.05263157894736842,0.3333333333333333,0.25
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3', 'CS4'}",NOVALUE,7,0.05263157894736842,0.5,0.3333333333333333
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3', 'CS4'}","in {NOVALUE, 'TT1', 'TT2'}",7,0.05263157894736842,0.5,0.16666666666666666
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}","in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}",7,0.05263157894736842,0.2,0.3333333333333333
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}","in {NOVALUE, 'TT1', 'TT2', 'TT3'}",7,0.05263157894736842,0.2,0.3333333333333333
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}","in {NOVALUE, 'TT1', 'TT2'}",14,0.10526315789473684,0.4,0.3333333333333333
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}","in {NOVALUE, 'TT1'}",7,0.05263157894736842,0.2,0.25
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2'}","in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}",14,0.10526315789473684,0.3333333333333333,0.6666666666666666
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2'}","in {NOVALUE, 'TT1', 'TT2', 'TT3'}",14,0.10526315789473684,0.3333333333333333,0.6666666666666666
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2'}","in {NOVALUE, 'TT1', 'TT2'}",14,0.10526315789473684,0.3333333333333333,0.3333333333333333
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1'}","in {NOVALUE, 'TT1', 'TT2'}",7,0.05263157894736842,0.3333333333333333,0.16666666666666666
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1'}","in {NOVALUE, 'TT1'}",14,0.10526315789473684,0.6666666666666666,0.5
"in {NOVALUE, 'G731ST-HT'}",housing,powerSupply,"in {'ST', 'AL'}","in {'1', '4'}",133,1.0,1.0,1.0
"in {NOVALUE, 'G731ST-HT'}",numberOfChannels,temperaturEingaenge,2,NOVALUE,21,0.15789473684210525,0.15789473684210525,1.0
"in {NOVALUE, 'G731ST-HT'}",numberOfChannels,temperaturEingaenge,2,"in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}",21,0.15789473684210525,0.15789473684210525,1.0
"in {NOVALUE, 'G731ST-HT'}",numberOfChannels,temperaturEingaenge,2,"in {NOVALUE, 'TT1', 'TT2', 'TT3'}",21,0.15789473684210525,0.15789473684210525,1.0
"in {NOVALUE, 'G731ST-HT'}",numberOfChannels,temperaturEingaenge,2,"in {NOVALUE, 'TT1', 'TT2'}",42,0.3157894736842105,0.3157894736842105,1.0
"in {NOVALUE, 'G731ST-HT'}",numberOfChannels,temperaturEingaenge,2,"in {NOVALUE, 'TT1'}",28,0.21052631578947367,0.21052631578947367,1.0
"in {NOVALUE, 'G731ST-HT'}",dataInterface,certification,HS,NN,5,0.03759398496240601,0.14285714285714285,0.2631578947368421
"in {NOVALUE, 'G731ST-HT'}",dataInterface,certification,HS,"in {'NN', 'WN', 'FN'}",10,0.07518796992481203,0.2857142857142857,0.2631578947368421
"in {NOVALUE, 'G731ST-HT'}",dataInterface,certification,HS,"in {'NN', 'WN'}",20,0.15037593984962405,0.5714285714285714,0.2631578947368421
"in {NOVALUE, 'G731ST-HT'}",dataInterface,certification,NN,"in {'NN', 'WN'}",24,0.18045112781954886,1.0,0.3157894736842105
"in {NOVALUE, 'G731ST-HT'}",dataInterface,certification,"in {'NN', 'MT', 'BT'}",NN,6,0.045112781954887216,0.3333333333333333,0.3157894736842105
"in {NOVALUE, 'G731ST-HT'}",dataInterface,certification,"in {'NN', 'MT', 'BT'}","in {'NN', 'WN', 'FN'}",12,0.09022556390977443,0.6666666666666666,0.3157894736842105
"in {NOVALUE, 'G731ST-HT'}",dataInterface,certification,"in {'NN', 'PA', 'MR', 'FF', 'BM'}",NN,8,0.06015037593984962,0.2,0.42105263157894735
"in {NOVALUE, 'G731ST-HT'}",dataInterface,certification,"in {'NN', 'PA', 'MR', 'FF', 'BM'}","in {'NN', 'WN'}",32,0.24060150375939848,0.8,0.42105263157894735
"in {NOVALUE, 'G731ST-HT'}",dataInterface,certification,"in {'NN', 'PA', 'MR', 'FF', 'DB', 'BM'}","in {'NN', 'WN', 'FN'}",16,0.12030075187969924,1.0,0.42105263157894735
"in {NOVALUE, 'G731ST-HT'}",protectionArea,certification,2,NN,19,0.14285714285714285,0.2,1.0
"in {NOVALUE, 'G731ST-HT'}",protectionArea,certification,2,"in {'NN', 'WN'}",76,0.5714285714285714,0.8,1.0
"in {NOVALUE, 'G731ST-HT'}",protectionArea,certification,N,"in {'NN', 'WN', 'FN'}",38,0.2857142857142857,1.0,1.0
"in {NOVALUE, 'G731ST-HT'}",explosionApproval,protectionArea,F,2,19,0.14285714285714285,1.0,0.2
"in {NOVALUE, 'G731ST-HT'}",explosionApproval,protectionArea,K,2,38,0.2857142857142857,1.0,0.4
"in {NOVALUE, 'G731ST-HT'}",explosionApproval,protectionArea,N,N,38,0.2857142857142857,1.0,1.0
"in {NOVALUE, 'G731ST-HT'}",explosionApproval,protectionArea,"in {'A', 'E', 'P', 'J', 'S'}",2,38,0.2857142857142857,1.0,0.4
"in {NOVALUE, 'G731ST-HT'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,NOVALUE,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",57,0.42857142857142855,1.0,1.0
"in {NOVALUE, 'G731ST-HT'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,"in {NOVALUE, 'MN1', 'MN2', 'MN3', 'MN4'}",NOVALUE,76,0.5714285714285714,1.0,1.0
"in {NOVALUE, 'G731ST-LT'}",explosionApproval,certification,F,NN,19,0.14285714285714285,1.0,1.0
"in {NOVALUE, 'G731ST-LT'}",explosionApproval,certification,K,"in {'NN', 'WN'}",38,0.2857142857142857,1.0,0.5
"in {NOVALUE, 'G731ST-LT'}",explosionApproval,certification,N,"in {'NN', 'WN', 'FN'}",38,0.2857142857142857,1.0,1.0
"in {NOVALUE, 'G731ST-LT'}",explosionApproval,certification,"in {'A', 'E', 'P', 'J', 'S'}","in {'NN', 'WN'}",38,0.2857142857142857,1.0,0.5
"in {NOVALUE, 'G731ST-LT'}",stromEingaenge,temperaturEingaenge,NOVALUE,NOVALUE,7,0.05263157894736842,0.14285714285714285,0.3333333333333333
"in {NOVALUE, 'G731ST-LT'}",stromEingaenge,temperaturEingaenge,NOVALUE,"in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}",21,0.15789473684210525,0.42857142857142855,1.0
"in {NOVALUE, 'G731ST-LT'}",stromEingaenge,temperaturEingaenge,NOVALUE,"in {NOVALUE, 'TT1', 'TT2'}",21,0.15789473684210525,0.42857142857142855,0.5
"in {NOVALUE, 'G731ST-LT'}",stromEingaenge,temperaturEingaenge,"in {NOVALUE, 'IS1', 'IS2', 'IS3', 'IS4'}",NOVALUE,14,0.10526315789473684,1.0,0.6666666666666666
"in {NOVALUE, 'G731ST-LT'}",stromEingaenge,temperaturEingaenge,"in {NOVALUE, 'IS1', 'IS2', 'IS3'}","in {NOVALUE, 'TT1'}",21,0.15789473684210525,1.0,0.75
"in {NOVALUE, 'G731ST-LT'}",stromEingaenge,temperaturEingaenge,"in {NOVALUE, 'IS1', 'IS2'}","in {NOVALUE, 'TT1', 'TT2'}",21,0.15789473684210525,1.0,0.5
"in {NOVALUE, 'G731ST-LT'}",stromEingaenge,temperaturEingaenge,"in {NOVALUE, 'IS1'}","in {NOVALUE, 'TT1', 'TT2', 'TT3'}",21,0.15789473684210525,0.75,1.0
"in {NOVALUE, 'G731ST-LT'}",stromEingaenge,temperaturEingaenge,"in {NOVALUE, 'IS1'}","in {NOVALUE, 'TT1'}",7,0.05263157894736842,0.25,0.25
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,stromEingaenge,NOVALUE,"in {NOVALUE, 'IS1', 'IS2', 'IS3', 'IS4'}",14,0.10526315789473684,0.6666666666666666,1.0
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,stromEingaenge,NOVALUE,"in {NOVALUE, 'IS1', 'IS2', 'IS3'}",7,0.05263157894736842,0.3333333333333333,0.3333333333333333
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3', 'CS4'}",NOVALUE,14,0.10526315789473684,1.0,0.2857142857142857
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}",NOVALUE,21,0.15789473684210525,0.6,0.42857142857142855
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}","in {NOVALUE, 'IS1'}",14,0.10526315789473684,0.4,0.5
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1', 'CS2'}",NOVALUE,14,0.10526315789473684,0.3333333333333333,0.2857142857142857
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1', 'CS2'}","in {NOVALUE, 'IS1', 'IS2'}",14,0.10526315789473684,0.3333333333333333,0.6666666666666666
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1', 'CS2'}","in {NOVALUE, 'IS1'}",14,0.10526315789473684,0.3333333333333333,0.5
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1'}","in {NOVALUE, 'IS1', 'IS2', 'IS3'}",14,0.10526315789473684,0.6666666666666666,0.6666666666666666
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1'}","in {NOVALUE, 'IS1', 'IS2'}",7,0.05263157894736842,0.3333333333333333,0.3333333333333333
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,temperaturEingaenge,NOVALUE,NOVALUE,14,0.10526315789473684,0.6666666666666666,0.6666666666666666
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,temperaturEingaenge,NOVALUE,"in {NOVALUE, 'TT1'}",7,0.05263157894736842,0.3333333333333333,0.25
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3', 'CS4'}",NOVALUE,7,0.05263157894736842,0.5,0.3333333333333333
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3', 'CS4'}","in {NOVALUE, 'TT1', 'TT2'}",7,0.05263157894736842,0.5,0.16666666666666666
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}","in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}",7,0.05263157894736842,0.2,0.3333333333333333
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}","in {NOVALUE, 'TT1', 'TT2', 'TT3'}",7,0.05263157894736842,0.2,0.3333333333333333
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}","in {NOVALUE, 'TT1', 'TT2'}",14,0.10526315789473684,0.4,0.3333333333333333
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}","in {NOVALUE, 'TT1'}",7,0.05263157894736842,0.2,0.25
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2'}","in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}",14,0.10526315789473684,0.3333333333333333,0.6666666666666666
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2'}","in {NOVALUE, 'TT1', 'TT2', 'TT3'}",14,0.10526315789473684,0.3333333333333333,0.6666666666666666
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1', 'CS2'}","in {NOVALUE, 'TT1', 'TT2'}",14,0.10526315789473684,0.3333333333333333,0.3333333333333333
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1'}","in {NOVALUE, 'TT1', 'TT2'}",7,0.05263157894736842,0.3333333333333333,0.16666666666666666
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,temperaturEingaenge,"in {NOVALUE, 'CS1'}","in {NOVALUE, 'TT1'}",14,0.10526315789473684,0.6666666666666666,0.5
"in {NOVALUE, 'G731ST-LT'}",housing,powerSupply,"in {'ST', 'AL'}","in {'1', '4'}",133,1.0,1.0,1.0
"in {NOVALUE, 'G731ST-LT'}",numberOfChannels,temperaturEingaenge,"in {1, 2}",NOVALUE,21,0.15789473684210525,0.15789473684210525,1.0
"in {NOVALUE, 'G731ST-LT'}",numberOfChannels,temperaturEingaenge,"in {1, 2}","in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}",21,0.15789473684210525,0.15789473684210525,1.0
"in {NOVALUE, 'G731ST-LT'}",numberOfChannels,temperaturEingaenge,"in {1, 2}","in {NOVALUE, 'TT1', 'TT2', 'TT3'}",21,0.15789473684210525,0.15789473684210525,1.0
"in {NOVALUE, 'G731ST-LT'}",numberOfChannels,temperaturEingaenge,"in {1, 2}","in {NOVALUE, 'TT1', 'TT2'}",42,0.3157894736842105,0.3157894736842105,1.0
"in {NOVALUE, 'G731ST-LT'}",numberOfChannels,temperaturEingaenge,"in {1, 2}","in {NOVALUE, 'TT1'}",28,0.21052631578947367,0.21052631578947367,1.0
"in {NOVALUE, 'G731ST-LT'}",dataInterface,certification,HS,NN,5,0.03759398496240601,0.14285714285714285,0.2631578947368421
"in {NOVALUE, 'G731ST-LT'}",dataInterface,certification,HS,"in {'NN', 'WN', 'FN'}",10,0.07518796992481203,0.2857142857142857,0.2631578947368421
"in {NOVALUE, 'G731ST-LT'}",dataInterface,certification,HS,"in {'NN', 'WN'}",20,0.15037593984962405,0.5714285714285714,0.2631578947368421
"in {NOVALUE, 'G731ST-LT'}",dataInterface,certification,NN,"in {'NN', 'WN'}",24,0.18045112781954886,1.0,0.3157894736842105
"in {NOVALUE, 'G731ST-LT'}",dataInterface,certification,"in {'NN', 'MT', 'BT'}",NN,6,0.045112781954887216,0.3333333333333333,0.3157894736842105
"in {NOVALUE, 'G731ST-LT'}",dataInterface,certification,"in {'NN', 'MT', 'BT'}","in {'NN', 'WN', 'FN'}",12,0.09022556390977443,0.6666666666666666,0.3157894736842105
"in {NOVALUE, 'G731ST-LT'}",dataInterface,certification,"in {'NN', 'PA', 'MR', 'FF', 'BM'}",NN,8,0.06015037593984962,0.2,0.42105263157894735
"in {NOVALUE, 'G731ST-LT'}",dataInterface,certification,"in {'NN', 'PA', 'MR', 'FF', 'BM'}","in {'NN', 'WN'}",32,0.24060150375939848,0.8,0.42105263157894735
"in {NOVALUE, 'G731ST-LT'}",dataInterface,certification,"in {'NN', 'PA', 'MR', 'FF', 'DB', 'BM'}","in {'NN', 'WN', 'FN'}",16,0.12030075187969924,1.0,0.42105263157894735
"in {NOVALUE, 'G731ST-LT'}",protectionArea,certification,2,NN,19,0.14285714285714285,0.2,1.0
"in {NOVALUE, 'G731ST-LT'}",protectionArea,certification,2,"in {'NN', 'WN'}",76,0.5714285714285714,0.8,1.0
"in {NOVALUE, 'G731ST-LT'}",protectionArea,certification,N,"in {'NN', 'WN', 'FN'}",38,0.2857142857142857,1.0,1.0
"in {NOVALUE, 'G731ST-LT'}",explosionApproval,protectionArea,F,2,19,0.14285714285714285,1.0,0.2
"in {NOVALUE, 'G731ST-LT'}",explosionApproval,protectionArea,K,2,38,0.2857142857142857,1.0,0.4
"in {NOVALUE, 'G731ST-LT'}",explosionApproval,protectionArea,N,N,38,0.2857142857142857,1.0,1.0
"in {NOVALUE, 'G731ST-LT'}",explosionApproval,protectionArea,"in {'A', 'E', 'P', 'J', 'S'}",2,38,0.2857142857142857,1.0,0.4
"in {NOVALUE, 'G731ST-LT'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,NOVALUE,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",57,0.42857142857142855,1.0,1.0
"in {NOVALUE, 'G731ST-LT'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,"in {NOVALUE, 'MN1', 'MN2', 'MN3', 'MN4'}",NOVALUE,76,0.5714285714285714,1.0,1.0
"in {NOVALUE, 'G731VG'}",explosionApproval,certification,F,NN,4,1.0,1.0,1.0
"in {NOVALUE, 'G731VG'}",stromEingaenge,temperaturEingaenge,IS1,TT1,2,0.5,1.0,1.0
"in {NOVALUE, 'G731VG'}",stromEingaenge,temperaturEingaenge,IS2,"in {NOVALUE, 'TT1'}",2,0.5,1.0,1.0
"in {NOVALUE, 'G731VG'}",stromSchaltbar,stromEingaenge,CS1,IS2,1,0.25,1.0,0.5
"in {NOVALUE, 'G731VG'}",stromSchaltbar,stromEingaenge,CS2,IS1,1,0.25,0.5,0.5
"in {NOVALUE, 'G731VG'}",stromSchaltbar,stromEingaenge,CS2,IS2,1,0.25,0.5,0.5
"in {NOVALUE, 'G731VG'}",stromSchaltbar,stromEingaenge,"in {'CS2', 'CS3'}",IS1,1,0.25,1.0,0.5
"in {NOVALUE, 'G731VG'}",stromSchaltbar,temperaturEingaenge,CS1,"in {NOVALUE, 'TT1'}",1,0.25,1.0,0.5
"in {NOVALUE, 'G731VG'}",stromSchaltbar,temperaturEingaenge,CS2,TT1,1,0.25,0.5,0.5
"in {NOVALUE, 'G731VG'}",stromSchaltbar,temperaturEingaenge,CS2,"in {NOVALUE, 'TT1'}",1,0.25,0.5,0.5
"in {NOVALUE, 'G731VG'}",stromSchaltbar,temperaturEingaenge,"in {'CS2', 'CS3'}",TT1,1,0.25,1.0,0.5
"in {NOVALUE, 'G731VG'}",housing,powerSupply,"in {'ST', 'AL'}","in {'1', '4'}",4,1.0,1.0,1.0
"in {NOVALUE, 'G731VG'}",numberOfChannels,temperaturEingaenge,2,TT1,2,0.5,0.5,1.0
"in {NOVALUE, 'G731VG'}",numberOfChannels,temperaturEingaenge,2,"in {NOVALUE, 'TT1'}",2,0.5,0.5,1.0
"in {NOVALUE, 'G731VG'}",dataInterface,certification,HS,NN,2,0.5,1.0,0.5
"in {NOVALUE, 'G731VG'}",dataInterface,certification,"in {'NN', 'MT', 'MR'}",NN,2,0.5,1.0,0.5
"in {NOVALUE, 'G731VG'}",protectionArea,certification,2,NN,4,1.0,1.0,1.0
"in {NOVALUE, 'G731VG'}",explosionApproval,protectionArea,F,2,4,1.0,1.0,1.0
"in {NOVALUE, 'G731VG'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,MN2,NOVALUE,1,0.25,1.0,0.25
"in {NOVALUE, 'G731VG'}",binaerDigitalOpenColl_MN,binaerOpenColl_MP,"in {'MN2', 'MN4'}",NOVALUE,3,0.75,1.0,0.75
"in {NOVALUE, 'x731'}",explosionApproval,certification,A,MN,116,0.16666666666666666,1.0,0.4
"in {NOVALUE, 'x731'}",explosionApproval,certification,F,MN,58,0.08333333333333333,0.5,0.2
"in {NOVALUE, 'x731'}",explosionApproval,certification,F,NN,58,0.08333333333333333,0.5,0.42028985507246375
"in {NOVALUE, 'x731'}",explosionApproval,certification,K,NN,40,0.05747126436781609,0.3448275862068966,0.2898550724637681
"in {NOVALUE, 'x731'}",explosionApproval,certification,K,"in {'NN', 'WN'}",76,0.10919540229885058,0.6551724137931034,0.5
"in {NOVALUE, 'x731'}",explosionApproval,certification,N,MN,116,0.16666666666666666,0.5,0.4
"in {NOVALUE, 'x731'}",explosionApproval,certification,N,"in {'NN', 'FN'}",40,0.05747126436781609,0.1724137931034483,1.0
"in {NOVALUE, 'x731'}",explosionApproval,certification,N,"in {'NN', 'WN', 'FN'}",76,0.10919540229885058,0.3275862068965517,1.0
"in {NOVALUE, 'x731'}",explosionApproval,certification,"in {'A', 'E', 'P', 'J', 'S'}",NN,40,0.05747126436781609,0.3448275862068966,0.2898550724637681
"in {NOVALUE, 'x731'}",explosionApproval,certification,"in {'A', 'E', 'P', 'J', 'S'}","in {'NN', 'WN'}",76,0.10919540229885058,0.6551724137931034,0.5
"in {NOVALUE, 'x731'}",stromEingaenge,temperaturEingaenge,IS1,TT1,24,0.034482758620689655,0.25,0.25
"in {NOVALUE, 'x731'}",stromEingaenge,temperaturEingaenge,IS1,"in {'TT1', 'TT2', 'TT3'}",72,0.10344827586206896,0.75,1.0
"in {NOVALUE, 'x731'}",stromEingaenge,temperaturEingaenge,NOVALUE,NOVALUE,24,0.034482758620689655,0.14285714285714285,0.3333333333333333
"in {NOVALUE, 'x731'}",stromEingaenge,temperaturEingaenge,NOVALUE,"in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}",72,0.10344827586206896,0.42857142857142855,1.0
"in {NOVALUE, 'x731'}",stromEingaenge,temperaturEingaenge,NOVALUE,"in {NOVALUE, 'TT1', 'TT2'}",72,0.10344827586206896,0.42857142857142855,0.5
"in {NOVALUE, 'x731'}",stromEingaenge,temperaturEingaenge,"in {'IS1', 'IS2', 'IS3'}",TT1,72,0.10344827586206896,1.0,0.75
"in {NOVALUE, 'x731'}",stromEingaenge,temperaturEingaenge,"in {'IS1', 'IS2'}","in {'TT1', 'TT2'}",72,0.10344827586206896,1.0,1.0
"in {NOVALUE, 'x731'}",stromEingaenge,temperaturEingaenge,"in {NOVALUE, 'IS1', 'IS2', 'IS3', 'IS4'}",NOVALUE,48,0.06896551724137931,1.0,0.6666666666666666
"in {NOVALUE, 'x731'}",stromEingaenge,temperaturEingaenge,"in {NOVALUE, 'IS1', 'IS2', 'IS3'}","in {NOVALUE, 'TT1'}",72,0.10344827586206896,1.0,0.75
"in {NOVALUE, 'x731'}",stromEingaenge,temperaturEingaenge,"in {NOVALUE, 'IS1', 'IS2'}","in {NOVALUE, 'TT1', 'TT2'}",72,0.10344827586206896,1.0,0.5
"in {NOVALUE, 'x731'}",stromEingaenge,temperaturEingaenge,"in {NOVALUE, 'IS1'}","in {NOVALUE, 'TT1', 'TT2', 'TT3'}",72,0.10344827586206896,0.75,1.0
"in {NOVALUE, 'x731'}",stromEingaenge,temperaturEingaenge,"in {NOVALUE, 'IS1'}","in {NOVALUE, 'TT1'}",24,0.034482758620689655,0.25,0.25
"in {NOVALUE, 'x731'}",stromSchaltbar,stromEingaenge,NOVALUE,"in {'IS1', 'IS2', 'IS3'}",24,0.034482758620689655,0.25,0.3333333333333333
"in {NOVALUE, 'x731'}",stromSchaltbar,stromEingaenge,NOVALUE,"in {NOVALUE, 'IS1', 'IS2', 'IS3', 'IS4'}",48,0.06896551724137931,0.5,1.0
"in {NOVALUE, 'x731'}",stromSchaltbar,stromEingaenge,NOVALUE,"in {NOVALUE, 'IS1', 'IS2', 'IS3'}",24,0.034482758620689655,0.25,0.3333333333333333
"in {NOVALUE, 'x731'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3', 'CS4'}",NOVALUE,48,0.06896551724137931,1.0,0.2857142857142857
"in {NOVALUE, 'x731'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}",IS1,48,0.06896551724137931,0.2857142857142857,0.5
"in {NOVALUE, 'x731'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}",NOVALUE,72,0.10344827586206896,0.42857142857142855,0.42857142857142855
"in {NOVALUE, 'x731'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}","in {NOVALUE, 'IS1'}",48,0.06896551724137931,0.2857142857142857,0.5
"in {NOVALUE, 'x731'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1', 'CS2'}",IS1,48,0.06896551724137931,0.2,0.5
"in {NOVALUE, 'x731'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1', 'CS2'}",NOVALUE,48,0.06896551724137931,0.2,0.2857142857142857
"in {NOVALUE, 'x731'}",stromSchaltbar,stromEingaenge,"in {NOVALUE, 'CS1', 'CS2'}","in {'IS1', 'IS2'}",48,0.06896551724137931,0.2,0.6666666666666666
